,CONSUMO_CATIVO_RO,CONSUMO_CATIVO_AC,CONSUMO_CATIVO_AM,CONSUMO_CATIVO_RR,CONSUMO_CATIVO_PA,CONSUMO_CATIVO_AP,CONSUMO_CATIVO_TO,CONSUMO_CATIVO_MA,CONSUMO_CATIVO_PI,CONSUMO_CATIVO_CE,CONSUMO_CATIVO_RN,CONSUMO_CATIVO_PB,CONSUMO_CATIVO_PE,CONSUMO_CATIVO_AL,CONSUMO_CATIVO_SE,CONSUMO_CATIVO_BA,CONSUMO_CATIVO_MG,CONSUMO_CATIVO_ES,CONSUMO_CATIVO_RJ,CONSUMO_CATIVO_SP,CONSUMO_CATIVO_PR,CONSUMO_CATIVO_SC,CONSUMO_CATIVO_RS,CONSUMO_CATIVO_MS,CONSUMO_CATIVO_MT,CONSUMO_CATIVO_GO,CONSUMO_CATIVO_DF,CONSUMO_CATIVO_Residencial,CONSUMO_CATIVO_Industrial,CONSUMO_CATIVO_Comercial,CONSUMO_CATIVO_Outros,CONSUMIDORES_CATIVO_RO,CONSUMIDORES_CATIVO_AC,CONSUMIDORES_CATIVO_AM,CONSUMIDORES_CATIVO_RR,CONSUMIDORES_CATIVO_PA,CONSUMIDORES_CATIVO_AP,CONSUMIDORES_CATIVO_TO,CONSUMIDORES_CATIVO_MA,CONSUMIDORES_CATIVO_PI,CONSUMIDORES_CATIVO_CE,CONSUMIDORES_CATIVO_RN,CONSUMIDORES_CATIVO_PB,CONSUMIDORES_CATIVO_PE,CONSUMIDORES_CATIVO_AL,CONSUMIDORES_CATIVO_SE,CONSUMIDORES_CATIVO_BA,CONSUMIDORES_CATIVO_MG,CONSUMIDORES_CATIVO_ES,CONSUMIDORES_CATIVO_RJ,CONSUMIDORES_CATIVO_SP,CONSUMIDORES_CATIVO_PR,CONSUMIDORES_CATIVO_SC,CONSUMIDORES_CATIVO_RS,CONSUMIDORES_CATIVO_MS,CONSUMIDORES_CATIVO_MT,CONSUMIDORES_CATIVO_GO,CONSUMIDORES_CATIVO_DF,CONSUMIDORES_CATIVO_Residencial,CONSUMIDORES_CATIVO_Industrial,CONSUMIDORES_CATIVO_Comercial,CONSUMIDORES_CATIVO_Outros,CONSUMO_LIVRE_RO,CONSUMO_LIVRE_AC,CONSUMO_LIVRE_AM,CONSUMO_LIVRE_RR,CONSUMO_LIVRE_PA,CONSUMO_LIVRE_AP,CONSUMO_LIVRE_TO,CONSUMO_LIVRE_MA,CONSUMO_LIVRE_PI,CONSUMO_LIVRE_CE,CONSUMO_LIVRE_RN,CONSUMO_LIVRE_PB,CONSUMO_LIVRE_PE,CONSUMO_LIVRE_AL,CONSUMO_LIVRE_SE,CONSUMO_LIVRE_BA,CONSUMO_LIVRE_MG,CONSUMO_LIVRE_ES,CONSUMO_LIVRE_RJ,CONSUMO_LIVRE_SP,CONSUMO_LIVRE_PR,CONSUMO_LIVRE_SC,CONSUMO_LIVRE_RS,CONSUMO_LIVRE_MS,CONSUMO_LIVRE_MT,CONSUMO_LIVRE_GO,CONSUMO_LIVRE_DF,CONSUMO_LIVRE_Residencial,CONSUMO_LIVRE_Industrial,CONSUMO_LIVRE_Comercial,CONSUMO_LIVRE_Outros,CONSUMIDORES_LIVRE_RO,CONSUMIDORES_LIVRE_AC,CONSUMIDORES_LIVRE_AM,CONSUMIDORES_LIVRE_RR,CONSUMIDORES_LIVRE_PA,CONSUMIDORES_LIVRE_AP,CONSUMIDORES_LIVRE_TO,CONSUMIDORES_LIVRE_MA,CONSUMIDORES_LIVRE_PI,CONSUMIDORES_LIVRE_CE,CONSUMIDORES_LIVRE_RN,CONSUMIDORES_LIVRE_PB,CONSUMIDORES_LIVRE_PE,CONSUMIDORES_LIVRE_AL,CONSUMIDORES_LIVRE_SE,CONSUMIDORES_LIVRE_BA,CONSUMIDORES_LIVRE_MG,CONSUMIDORES_LIVRE_ES,CONSUMIDORES_LIVRE_RJ,CONSUMIDORES_LIVRE_SP,CONSUMIDORES_LIVRE_PR,CONSUMIDORES_LIVRE_SC,CONSUMIDORES_LIVRE_RS,CONSUMIDORES_LIVRE_MS,CONSUMIDORES_LIVRE_MT,CONSUMIDORES_LIVRE_GO,CONSUMIDORES_LIVRE_DF,CONSUMIDORES_LIVRE_Residencial,CONSUMIDORES_LIVRE_Industrial,CONSUMIDORES_LIVRE_Comercial,CONSUMIDORES_LIVRE_Outros
2004-01-01,112812,34840.033,274773,31695.624,998415.281,43084,65876.607,737033.285,131052,518714,258748.328,236448.974,630980.789,285489,170127.414,1356735.799,2732631.668,478513.732,2295758.406,6987562.148,1424057.211,1111677.265,1628094.818,259818.634,287657.706,618445,296041,6780680.373,9066706.879,4220228.79,3939467.68,345852,126275,543155,78916,1188172,114101,282945,1124352,671526,2148029,806557,965249,2323086,637016,521642,3502256,6153887,1036188,5371203,13021304,3196671,1923760,3391354,654054,715311,1825557,662857,45430039.0,506577.0,4238307.0,3156352.0,0,0,0,0,12937.771,0,0,0,0,0,9865.79,0,12121.624,0,22079.595,87715.67,1000179.556,129141.325,316994.484,988746.759,172217.031,21249,152817.66,13098.758,4515.718,12179,15418,0.0,2942144.434,24608.124,4525.183,0,0,0,0,1,0,0,0,0,0,1,0,2,0,2,10,26,11,8,83,14,7,21,4,1,1,3,0,177,17,1
2004-02-01,105806,33050.335,278429.715,30802.288,948437.568,28944,63306.912,694591.783,110758,469181.229,223838.555,226289.392,600173.266,266555,164452.816,1259733.306,2601534.399,465174.586,2314951.523,6831454.066,1474197.118,1210231.388,1824338.494,256437.886,291449.326,591848,267122,6429337.18,9305783.558,4123008.329,3774959.884,346938,127239,544942,79058,1280722,83296.595,284088,1131108,673148,2155413,808424,969387,2321671,642403,522708,3514284,6180337,1040468,5385980,13071828,3201916,1929149,3400560,655710,713001,1830645,665769,45630099.0,505805.135,4245586.0,3178702.46,0,0,0,0,18671.752,0,0,0,0,0,10112.32,0,12157.491,0,17573.307,84450.53,980835.088,118085.51,315082.324,1087595.603,161378.851,20074,8,14175.533,5493.035,10681,18806,0.0,2835632.715,24266.51,15281.119,0,1,0,0,1,0,0,0,0,0,1,0,3,0,2,10,32,11,11,107,15,7,5,4,1,1,3,0,192,20,3
2004-03-01,106668,33858.038,270420,30275.526,997574.525,42451,67551.247,743086.198,112344,508966.156,247101.952,242215.126,641132.06,259855,176304.426,1300584.867,2635573.252,472787.944,2251157.358,7058967.546,1471008.614,1269220.883,1788563.075,258721.921,329305.989,612926,281258,6600338.007,9577173.802,4178482.674,3853884.22,347685,128142,546869,79224,1200970,146396,285701,1133183,674415,2169733,811113,971083,2333826,641181,513982,3540970,6205432,1043595,5404444,13141228,3208602,1934320,3409873.079,657373,715873,1834173,671692,45874005.0,506382.493,4252172.503,3118518.083,0,0,0,0,25378.312,0,0,0,0,0,10864.15,0,17641.93,0,19306.654,93340.564,969843.08,126736.992,330903.383,1057833.925,185635.203,31525,152817.66,19998.616,3581,9857,19195,0.0,3031239.245,25380.142,17839.082,0,0,0,0,1,0,0,0,0,0,1,0,3,0,2,10,38,11,12,118,16,8,21,5,1,1,3,0,216,21,14
2004-04-01,107580,34961.023,279044.699,33035.03,1009255.402,40234,71774.323,728379.037,123168,523200.083,254830.177,235364.13,659200.437,289626,181488.975,1322590.367,2693060.392,461346.958,2273899.281,7419594.429,1512898.052,1187222.069,1813423.255,272649.353,346013.726,633504,304543,6809006.361,9695977.56,4420409.297,3886492.98,351032,128399,547966,78824,1299053,115537,286867,1137788,676091,2188198,812528,974334,2340860,642554,525904,3544272,6216679,1042583,5425649,13137295,3217462,1938746,3413655,658939,718819,1839696,674332,46044908.0,506583.0,4261081.0,3121490.0,0,0,0,0,22977.583,0,0,0,0,0,9674.55,0,15445.909,0,22576.088,96455.716,975567.668,121960.155,352441.094,1203452.044,179012.105,27939,152816.64,18003.763,7025.81,10579,18368,0.0,3191312.553,26665.397,16317.175,0,0,0,0,1,0,0,0,0,0,1,0,3,0,2,10,33,11,15,122,18,8,21,6,1,1,3,0,230,24,2
2004-05-01,112115.8,33416.604,283866,28944.364,1032714.992,38522,74458.77,751060.141,121261,501515,248204.552,234298.802,621476.469,284219,161165.063,1343159.748,2727245.172,449853.433,2167121.027,6828920.966,1470973.505,1193066.896,1686516.925,247916.978,324059.165,642521,299765,6477341.432,9539948.329,4074520.282,3816548.329,353130,129201,549696,79745,1210784,115783,288180,1139029,677618,2191395,814363,977694,2284420,643888,527582,3558973,6219002,1041233,5436057,13130568,3209229,1943679,3415905,658549,721576,1844299,679731,45965740.0,504642.0,4244656.0,3126271.0,0,0,0,0,25090.515,0,0,0,0,0,10557.012,0,27961.966,0,25666.154,93039.766,965549.733,136547.33,363824.063,1267566.978,185635.203,30383,156450.66,19428.286,4874.715,11479,15744,0.0,3292763.612,31199.903,15834.866,0,0,0,0,1,0,0,0,0,0,1,0,5,0,2,10,32,11,15,142,16,8,22,7,1,1,3,0,244,31,2
2004-06-01,107816.5,32048.595,285251,29531.804,503438.38,41854,77738.63,730461.971,122482,511009,253237.139,236512.263,614521.614,284384,158159.211,1334970.015,2782422.083,448891.635,2010683.019,6837302.647,1440414.894,1131653.942,1610866.664,229667.207,310092.103,674871,287913,6291091.533,9159914.93,3807916.881,3829270.972,354946,129378,550431,80185,1220390,115931,290464,1142241,680249,2195173,816940,981465,2277089,643534,529421,3572698,6221748,1042974,5450403,13155298,3228541,1948575,3419946,664454,725719,1849574,686088,46078802.0,505236.0,4253483.0,3136334.0,0,0,0,0,563703,0,0,0,0,0,10748.103,0,27965.71,0,35081.558,89769.185,986598.814,122701.756,355637.295,1354279.632,181237.054,28459,163932.007,22289.53,18293.984,12220,21850,0.0,3947720.332,32083.55,14962.746,0,0,0,0,2,0,0,0,0,0,1,0,5,0,3,10,33,11,15,153,20,8,30,7,4,1,5,0,271,35,2
2004-07-01,108589,33659.693,295884,28212.474,500297.597,40924,74534.74,241475.928,120148.2,495416,237892.608,235539.246,588732.398,282241,163197.451,1333209.608,2716904.808,448522.498,2069510.66,6899440.593,1431594.559,1155438.697,1612216.563,227011.01,334082.552,675815,296532,6292471.042,8654157.049,3856244.627,3844150.165,355919,129816,552109,80296,1228622,116179,292121,1146352,682898,2198066,819236,968996,2269197,646373,530410,3585438,6238985,1043341,5464063,13207667,3226711,1953663,3424680,665374,728878,1854765,687620,46185866.0,504296.0,4260038.0,3147575.0,0,0,0,0,582901,0,0,500274,0,0,11350.285,0,30517.306,0,34582.926,101597.178,1022964.181,137329.031,396608.338,1403005.825,189732.832,40339,169471.149,24220.939,19528.075,12342,22218,0.0,4652650.262,30989.54,15342.263,0,0,0,0,2,0,0,2,0,0,1,0,6,0,3,10,33,11,16,155,19,9,31,7,4,2,3,0,278,34,2
2004-08-01,110858,34837.451,296649.546,28722.604,556602.474,41429,78675.792,253642.143,123974,531184.836,250577.156,233748.45,599958.922,281415,157829.723,1308707.88,2765183.258,449021.778,2037627.109,6903139.533,1467660.42,1160341.185,1610385.06,245454.992,325028.094,703050,291779,6304477.069,8839850.942,3835079.799,3868075.596,356274,130478,553730,80391,1329953,116431,294050,1151604,684822,2205529,821817,981661,2264481,647955,531700,3599724,6248639,1045619,5478172,13217397,3241852,1958893,3430688,667439,733678,1859953,690191,46379790.0,504477.0,4274715.0,3164139.0,0,0,0,0,582121,0,0,503725,0,0,11725.902,0,34590.414,0,35556.109,111879.098,1037965.951,140368.321,370330.64,1485938.477,190821.648,52393,171581.058,24997.783,19103.131,13102,23175,0.0,4752490.105,32187.742,24696.685,0,0,0,0,2,0,0,2,0,0,1,0,6,0,3,10,33,11,16,164,20,13,31,7,4,2,3,0,292,33,3
2004-09-01,116058,36879.798,308616.486,29796.9,508455,44138,82175.325,257092.442,135732,564012.832,253658.357,245145.596,649710.85,279917,161202.519,1343318.521,2858061.074,465981.266,2139732.942,7119411.748,1489696.92,1139107.761,1595462.859,249485.921,347928.566,738378,317084,6604390.033,8742969.351,4085830.474,4043050.825,354558,130865,555610,80463,1243382,117135,295960,1153849,686946,2214912,824364,989657,2306708,649541,523374,3623675,6262873,1045187,5490022,13235158,3252605,1964688,3435212,670687,739893,1864627,691975,46444030.0,506131.0,4276973.0,3176792.0,0,0,0,0,561037,0,0,488463,0,0,11610.956,0,31965.133,0,34297.86,113903.3,1037290.668,132069.259,355079.378,1536105.659,206540.407,51193,172410.64,21141.831,16147.709,12159,24842,0.0,4717845.673,35490.856,52920.271,0,0,0,0,2,0,0,2,0,0,1,0,6,0,3,10,39,11,16,183,23,13,33,7,4,2,3,0,300,38,20
2004-10-01,120268,36948.043,319945.538,31634.274,511844.37,46695,77895.436,254396.351,134046,553697.617,264005.233,235224.514,650709.789,290729,164118.583,1375877.157,2797340.818,484343.781,2186087.14,7163919.701,1443708.188,1135014.002,1556103.121,255724.388,346372.939,733882.587,318078,6606513.86,8600233.784,4151351.831,4130510.095,357165,131216,557355,80902,1247399,117819,296466,1155480,688897,2221255,828056,992064,2345529,651252,525419,3636053,6273071,1045616,5500857,13491612,3260091,1970288,3442230,676517,741385,1869202,694255,46807640.0,507849.0,4288772.0,3193190.0,0,0,0,0,578936,0,0,532565,1393,0,12659.23,17869,36500.716,0,36024.215,98065.436,1087732.4,125347.818,381412.38,1567439.781,226014.579,57537.249,172320.334,23107.33,16091.587,12700,37541.641,0.0,4934498.606,36637.875,50121.215,0,0,0,0,1,0,0,2,1,0,1,2,7,0,3,10,38,11,17,182,25,15,33,7,6,2,5,0,322,38,8
