Data,Categoria,CONSUMO,CONSUMIDORES,Tipo_consumidor
2004-01-31,CHV,"18120257,588","53331275,0",CATIVO
2004-01-31,Comercial,"4220228,79","4238307,0",CATIVO
2004-01-31,Industrial,"9066706,879","506577,0",CATIVO
2004-01-31,Outros,"3939467,68","3156352,0",CATIVO
2004-01-31,Residencial,"6780680,373","45430039,0",CATIVO
2004-01-31,SHV,"5886826,134","15379129,0",CATIVO
2004-01-31,CHV,"2826557,2909999997","195,0",LIVRE
2004-01-31,Comercial,"24608,124","17,0",LIVRE
2004-01-31,Industrial,"2942144,434","177,0",LIVRE
2004-01-31,Outros,"4525,183","1,0",LIVRE
2004-01-31,Residencial,"0,0","0,0",LIVRE
2004-01-31,SHV,"144720,45","16,0",LIVRE
2004-02-29,CHV,"18128738,786000002","53560192,595",CATIVO
2004-02-29,Comercial,"4123008,329","4245586,0",CATIVO
2004-02-29,Industrial,"9305783,558","505805,135",CATIVO
2004-02-29,Outros,"3774959,884","3178702,46",CATIVO
2004-02-29,Residencial,"6429337,18","45630099,0",CATIVO
2004-02-29,SHV,"5504350,164999999","15484829,595",CATIVO
2004-02-29,CHV,"2732214,9439999997","215,0",LIVRE
2004-02-29,Comercial,"24266,51","20,0",LIVRE
2004-02-29,Industrial,"2835632,715","192,0",LIVRE
2004-02-29,Outros,"15281,119","3,0",LIVRE
2004-02-29,Residencial,"0,0","0,0",LIVRE
2004-02-29,SHV,"142965,4","18,0",LIVRE
2004-03-31,CHV,"18429490,582","53751078,078999996",CATIVO
2004-03-31,Comercial,"4178482,674","4252172,503",CATIVO
2004-03-31,Industrial,"9577173,802","506382,493",CATIVO
2004-03-31,Outros,"3853884,22","3118518,083",CATIVO
2004-03-31,Residencial,"6600338,007","45874005,0",CATIVO
2004-03-31,SHV,"5780388,120999999","15524473,0",CATIVO
2004-03-31,CHV,"2907926,859","251,0",LIVRE
2004-03-31,Comercial,"25380,142","21,0",LIVRE
2004-03-31,Industrial,"3031239,245","216,0",LIVRE
2004-03-31,Outros,"17839,082","14,0",LIVRE
2004-03-31,Residencial,"0,0","0,0",LIVRE
2004-03-31,SHV,"166531,61","17,0",LIVRE
2004-04-30,CHV,"18918154,514999997","53934062,0",CATIVO
2004-04-30,Comercial,"4420409,297","4261081,0",CATIVO
2004-04-30,Industrial,"9695977,56","506583,0",CATIVO
2004-04-30,Outros,"3886492,98","3121490,0",CATIVO
2004-04-30,Residencial,"6809006,361","46044908,0",CATIVO
2004-04-30,SHV,"5893731,683","15650207,0",CATIVO
2004-04-30,CHV,"3067165,279","256,0",LIVRE
2004-04-30,Comercial,"26665,397","24,0",LIVRE
2004-04-30,Industrial,"3191312,553","230,0",LIVRE
2004-04-30,Outros,"16317,175","2,0",LIVRE
2004-04-30,Residencial,"0,0","0,0",LIVRE
2004-04-30,SHV,"167129,84600000002","17,0",LIVRE
2004-05-31,CHV,"18037960,067","53841309,0",CATIVO
2004-05-31,Comercial,"4074520,282","4244656,0",CATIVO
2004-05-31,Industrial,"9539948,329","504642,0",CATIVO
2004-05-31,Outros,"3816548,329","3126271,0",CATIVO
2004-05-31,Residencial,"6477341,432","45965740,0",CATIVO
2004-05-31,SHV,"5870398,305000001","15541481,0",CATIVO
2004-05-31,CHV,"3157482,9680000003","277,0",LIVRE
2004-05-31,Comercial,"31199,903","31,0",LIVRE
2004-05-31,Industrial,"3292763,612","244,0",LIVRE
2004-05-31,Outros,"15834,866","2,0",LIVRE
2004-05-31,Residencial,"0,0","0,0",LIVRE
2004-05-31,SHV,"182315,413","19,0",LIVRE
2004-06-30,CHV,"17764778,194","53973855,0",CATIVO
2004-06-30,Comercial,"3807916,881","4253483,0",CATIVO
2004-06-30,Industrial,"9159914,93","505236,0",CATIVO
2004-06-30,Outros,"3829270,972","3136334,0",CATIVO
2004-06-30,Residencial,"6291091,533","46078802,0",CATIVO
2004-06-30,SHV,"5323416,1219999995","15580535,0",CATIVO
2004-06-30,CHV,"3267499,072","308,0",LIVRE
2004-06-30,Comercial,"32083,55","35,0",LIVRE
2004-06-30,Industrial,"3947720,332","271,0",LIVRE
2004-06-30,Outros,"14962,746","2,0",LIVRE
2004-06-30,Residencial,"0,0","0,0",LIVRE
2004-06-30,SHV,"727267,5559999999","21,0",LIVRE
2004-07-31,CHV,"17867068,94","54097775,0",CATIVO
2004-07-31,Comercial,"3856244,627","4260038,0",CATIVO
2004-07-31,Industrial,"8654157,049","504296,0",CATIVO
2004-07-31,Outros,"3844150,165","3147575,0",CATIVO
2004-07-31,Residencial,"6292471,042","46185866,0",CATIVO
2004-07-31,SHV,"4779953,943","15602028,0",CATIVO
2004-07-31,CHV,"3437759,37","314,0",LIVRE
2004-07-31,Comercial,"30989,54","34,0",LIVRE
2004-07-31,Industrial,"4652650,262","278,0",LIVRE
2004-07-31,Outros,"15342,263","2,0",LIVRE
2004-07-31,Residencial,"0,0","0,0",LIVRE
2004-07-31,SHV,"1261222,695","24,0",LIVRE
2004-08-31,CHV,"17958670,429","54323121,0",CATIVO
2004-08-31,Comercial,"3835079,799","4274715,0",CATIVO
2004-08-31,Industrial,"8839850,942","504477,0",CATIVO
2004-08-31,Outros,"3868075,596","3164139,0",CATIVO
2004-08-31,Residencial,"6304477,069","46379790,0",CATIVO
2004-08-31,SHV,"4888812,977","15750600,0",CATIVO
2004-08-31,CHV,"3529777,009","328,0",LIVRE
2004-08-31,Comercial,"32187,742","33,0",LIVRE
2004-08-31,Industrial,"4752490,105","292,0",LIVRE
2004-08-31,Outros,"24696,685","3,0",LIVRE
2004-08-31,Residencial,"0,0","0,0",LIVRE
2004-08-31,SHV,"1279597,523","24,0",LIVRE
2004-09-30,CHV,"18460331,057","54403926,0",CATIVO
2004-09-30,Comercial,"4085830,474","4276973,0",CATIVO
2004-09-30,Industrial,"8742969,351","506131,0",CATIVO
2004-09-30,Outros,"4043050,825","3176792,0",CATIVO
2004-09-30,Residencial,"6604390,033","46444030,0",CATIVO
2004-09-30,SHV,"5015909,626","15750999,0",CATIVO
2004-09-30,CHV,"3564979,5509999995","358,0",LIVRE
2004-09-30,Comercial,"35490,856","38,0",LIVRE
2004-09-30,Industrial,"4717845,673","300,0",LIVRE
2004-09-30,Outros,"52920,271","20,0",LIVRE
2004-09-30,Residencial,"0,0","0,0",LIVRE
2004-09-30,SHV,"1241277,249","24,0",LIVRE
2004-10-31,CHV,"18420574,665000003","54797451,0",CATIVO
2004-10-31,Comercial,"4151351,831","4288772,0",CATIVO
2004-10-31,Industrial,"8600233,784","507849,0",CATIVO
2004-10-31,Outros,"4130510,095","3193190,0",CATIVO
2004-10-31,Residencial,"6606513,86","46807640,0",CATIVO
2004-10-31,SHV,"5068034,905","15832327,0",CATIVO
2004-10-31,CHV,"3707245,098999999","368,0",LIVRE
2004-10-31,Comercial,"36637,875","38,0",LIVRE
2004-10-31,Industrial,"4934498,606","322,0",LIVRE
2004-10-31,Outros,"50121,215","8,0",LIVRE
2004-10-31,Residencial,"0,0","0,0",LIVRE
2004-10-31,SHV,"1314012,597","27,0",LIVRE
2004-11-30,CHV,"18240833,382","54701420,0",CATIVO
2004-11-30,Comercial,"4188595,5","4238483,0",CATIVO
2004-11-30,Industrial,"8580400,557","510489,0",CATIVO
2004-11-30,Outros,"4000797,167","3202468,0",CATIVO
2004-11-30,Residencial,"6631190,163","46749980,0",CATIVO
2004-11-30,SHV,"5160150,005","15910812,0",CATIVO
2004-11-30,CHV,"3694394,1170000006","364,0",LIVRE
2004-11-30,Comercial,"36580,032","38,0",LIVRE
2004-11-30,Industrial,"4875369,189","318,0",LIVRE
2004-11-30,Outros,"50398,0","8,0",LIVRE
2004-11-30,Residencial,"0,0","0,0",LIVRE
2004-11-30,SHV,"1267953,1039999998","29,0",LIVRE
2004-12-31,CHV,"18300305,567999996","54842923,0",CATIVO
2004-12-31,Comercial,"4362831,602","4279093,0",CATIVO
2004-12-31,Industrial,"8435115,199","504463,0",CATIVO
2004-12-31,Outros,"4076558,812","3210564,0",CATIVO
2004-12-31,Residencial,"6643371,195","46848803,0",CATIVO
2004-12-31,SHV,"5217571,24","15949751,0",CATIVO
2004-12-31,CHV,"3750669,896","368,0",LIVRE
2004-12-31,Comercial,"37304,851","39,0",LIVRE
2004-12-31,Industrial,"4956768,347","320,0",LIVRE
2004-12-31,Outros,"50155,658","9,0",LIVRE
2004-12-31,Residencial,"0,0","0,0",LIVRE
2004-12-31,SHV,"1293558,9600000002","30,0",LIVRE
2005-01-31,CHV,"17453740,787","55370816,0",CATIVO
2005-01-31,Comercial,"4445266,061","4316767,0",CATIVO
2005-01-31,Industrial,"6978771,254","506179,0",CATIVO
2005-01-31,Outros,"4055305,233","3237028,0",CATIVO
2005-01-31,Residencial,"7118537,783","47310842,0",CATIVO
2005-01-31,SHV,"5144139,544","16051910,0",CATIVO
2005-01-31,CHV,"4458981,849","519,0",LIVRE
2005-01-31,Comercial,"47277,828","39,0",LIVRE
2005-01-31,Industrial,"5671981,754","470,0",LIVRE
2005-01-31,Outros,"58297,115","10,0",LIVRE
2005-01-31,Residencial,"0,0","0,0",LIVRE
2005-01-31,SHV,"1318574,8479999998","51,0",LIVRE
2005-02-28,CHV,"16890043,625","55436106,0",CATIVO
2005-02-28,Comercial,"4318517,887","4315200,0",CATIVO
2005-02-28,Industrial,"6807912,429","504927,0",CATIVO
2005-02-28,Outros,"3895888,041","3244999,0",CATIVO
2005-02-28,Residencial,"6758333,1","47370980,0",CATIVO
2005-02-28,SHV,"4890607,832","16067675,0",CATIVO
2005-02-28,CHV,"4852411,557","551,0",LIVRE
2005-02-28,Comercial,"47088,201","40,0",LIVRE
2005-02-28,Industrial,"5938627,428","492,0",LIVRE
2005-02-28,Outros,"121250,577","19,0",LIVRE
2005-02-28,Residencial,"0,0","0,0",LIVRE
2005-02-28,SHV,"1254554,649","53,0",LIVRE
2005-03-31,CHV,"17271277,969","55625822,0",CATIVO
2005-03-31,Comercial,"4506507,532","4321625,0",CATIVO
2005-03-31,Industrial,"6954888,987","505373,0",CATIVO
2005-03-31,Outros,"3961159,875","3261629,0",CATIVO
2005-03-31,Residencial,"6865215,603","47537195,0",CATIVO
2005-03-31,SHV,"5016494,028","16141413,0",CATIVO
2005-03-31,CHV,"4924892,290999999","550,0",LIVRE
2005-03-31,Comercial,"46012,375","41,0",LIVRE
2005-03-31,Industrial,"6110372,372","489,0",LIVRE
2005-03-31,Outros,"113812,647","20,0",LIVRE
2005-03-31,Residencial,"0,0","0,0",LIVRE
2005-03-31,SHV,"1345305,1029999994","37,0",LIVRE
2005-04-30,CHV,"17783539,855","55735754,0",CATIVO
2005-04-30,Comercial,"4638131,991","4326185,0",CATIVO
2005-04-30,Industrial,"7010917,183","505525,0",CATIVO
2005-04-30,Outros,"4016889,572","3275494,0",CATIVO
2005-04-30,Residencial,"7131738,269","47628550,0",CATIVO
