,CONSUMO_CATIVO_CHV,CONSUMO_CATIVO_SHV,CONSUMIDORES_CATIVO_CHV,CONSUMIDORES_CATIVO_SHV,CONSUMO_CATIVO_Residencial,CONSUMO_CATIVO_Industrial,CONSUMO_CATIVO_Comercial,CONSUMO_CATIVO_Outros,CONSUMIDORES_CATIVO_Residencial,CONSUMIDORES_CATIVO_Industrial,CONSUMIDORES_CATIVO_Comercial,CONSUMIDORES_CATIVO_Outros,CONSUMO_LIVRE_CHV,CONSUMO_LIVRE_SHV,CONSUMIDORES_LIVRE_CHV,CONSUMIDORES_LIVRE_SHV,CONSUMO_LIVRE_Residencial,CONSUMO_LIVRE_Industrial,CONSUMO_LIVRE_Comercial,CONSUMO_LIVRE_Outros,CONSUMIDORES_LIVRE_Residencial,CONSUMIDORES_LIVRE_Industrial,CONSUMIDORES_LIVRE_Comercial,CONSUMIDORES_LIVRE_Outros
2004-01-31,18120257.588,5886826.134,53331275.0,15379129.0,6780680.373,9066706.879,4220228.79,3939467.68,45430039.0,506577.0,4238307.0,3156352.0,2826557.2909999997,144720.45,195,16,0.0,2942144.434,24608.124,4525.183,0.0,177.0,17.0,1.0
2004-02-29,18128738.786000002,5504350.164999999,53560192.595,15484829.595,6429337.18,9305783.558,4123008.329,3774959.884,45630099.0,505805.135,4245586.0,3178702.46,2732214.9439999997,142965.4,215,18,0.0,2835632.715,24266.51,15281.119,0.0,192.0,20.0,3.0
2004-03-31,18429490.582,5780388.120999999,53751078.078999996,15524473.0,6600338.007,9577173.802,4178482.674,3853884.22,45874005.0,506382.493,4252172.503,3118518.083,2907926.859,166531.61,251,17,0.0,3031239.245,25380.142,17839.082,0.0,216.0,21.0,14.0
2004-04-30,18918154.514999997,5893731.683,53934062.0,15650207.0,6809006.361,9695977.56,4420409.297,3886492.98,46044908.0,506583.0,4261081.0,3121490.0,3067165.279,167129.84600000002,256,17,0.0,3191312.553,26665.397,16317.175,0.0,230.0,24.0,2.0
2004-05-31,18037960.067,5870398.305000001,53841309.0,15541481.0,6477341.432,9539948.329,4074520.282,3816548.329,45965740.0,504642.0,4244656.0,3126271.0,3157482.9680000003,182315.413,277,19,0.0,3292763.612,31199.903,15834.866,0.0,244.0,31.0,2.0
2004-06-30,17764778.194,5323416.1219999995,53973855.0,15580535.0,6291091.533,9159914.93,3807916.881,3829270.972,46078802.0,505236.0,4253483.0,3136334.0,3267499.072,727267.5559999999,308,21,0.0,3947720.332,32083.55,14962.746,0.0,271.0,35.0,2.0
2004-07-31,17867068.94,4779953.943,54097775.0,15602028.0,6292471.042,8654157.049,3856244.627,3844150.165,46185866.0,504296.0,4260038.0,3147575.0,3437759.37,1261222.695,314,24,0.0,4652650.262,30989.54,15342.263,0.0,278.0,34.0,2.0
2004-08-31,17958670.429,4888812.977,54323121.0,15750600.0,6304477.069,8839850.942,3835079.799,3868075.596,46379790.0,504477.0,4274715.0,3164139.0,3529777.009,1279597.523,328,24,0.0,4752490.105,32187.742,24696.685,0.0,292.0,33.0,3.0
2004-09-30,18460331.057,5015909.626,54403926.0,15750999.0,6604390.033,8742969.351,4085830.474,4043050.825,46444030.0,506131.0,4276973.0,3176792.0,3564979.5509999995,1241277.249,358,24,0.0,4717845.673,35490.856,52920.271,0.0,300.0,38.0,20.0
2004-10-31,18420574.665000003,5068034.905,54797451.0,15832327.0,6606513.86,8600233.784,4151351.831,4130510.095,46807640.0,507849.0,4288772.0,3193190.0,3707245.098999999,1314012.597,368,27,0.0,4934498.606,36637.875,50121.215,0.0,322.0,38.0,8.0
2004-11-30,18240833.382,5160150.005,54701420.0,15910812.0,6631190.163,8580400.557,4188595.5,4000797.167,46749980.0,510489.0,4238483.0,3202468.0,3694394.1170000006,1267953.1039999998,364,29,0.0,4875369.189,36580.032,50398.0,0.0,318.0,38.0,8.0
2004-12-31,18300305.567999996,5217571.24,54842923.0,15949751.0,6643371.195,8435115.199,4362831.602,4076558.812,46848803.0,504463.0,4279093.0,3210564.0,3750669.896,1293558.9600000002,368,30,0.0,4956768.347,37304.851,50155.658,0.0,320.0,39.0,9.0
2005-01-31,17453740.787,5144139.544,55370816.0,16051910.0,7118537.783,6978771.254,4445266.061,4055305.233,47310842.0,506179.0,4316767.0,3237028.0,4458981.849,1318574.8479999998,519,51,0.0,5671981.754,47277.828,58297.115,0.0,470.0,39.0,10.0
2005-02-28,16890043.625,4890607.832,55436106.0,16067675.0,6758333.1,6807912.429,4318517.887,3895888.041,47370980.0,504927.0,4315200.0,3244999.0,4852411.557,1254554.649,551,53,0.0,5938627.428,47088.201,121250.577,0.0,492.0,40.0,19.0
2005-03-31,17271277.969,5016494.028,55625822.0,16141413.0,6865215.603,6954888.987,4506507.532,3961159.875,47537195.0,505373.0,4321625.0,3261629.0,4924892.290999999,1345305.1029999994,550,37,0.0,6110372.372,46012.375,113812.647,0.0,489.0,41.0,20.0
2005-04-30,17783539.855,5014137.16,55735754.0,16184284.0,7131738.269,7010917.183,4638131.991,4016889.572,47628550.0,505525.0,4326185.0,3275494.0,5236185.0430000005,1313164.753,576,39,0.0,6363071.616,48947.76,137330.42,0.0,511.0,41.0,24.0
2005-05-31,16897869.042,5019106.18,55764322.307,16196098.307,6718147.337,6910322.838,4329877.093,3958627.954,47646178.182,505951.01,4325466.147,3286726.968,5156272.204000002,1408902.9899999998,603,49,0.0,6381996.807,47726.628,135451.759,0.0,535.0,44.0,24.0
2005-06-30,16930252.044,4900840.6389999995,56018609.307,16281793.307,6776657.851,6838595.674,4247401.865,3968437.293,47859338.182,506790.01,4341518.147,3310962.968,5122795.14,1366661.91,616,48,0.0,6304452.851,46876.804,138127.395,0.0,548.0,44.0,24.0
2005-07-31,16599987.171000002,4934586.566000001,56161280.307,16352862.307,6644820.476,6845900.544,4099567.377,3944285.34,47974144.182,507337.01,4346912.147,3332886.968,5359633.6620000005,1428109.4469999997,648,47,0.0,6584545.427,47689.416,155508.266,0.0,560.0,52.0,36.0
2005-08-31,16637333.857,5010556.316,56322008.0,16418439.0,6704784.133,6851044.331,4092191.332,3999870.377,48113779.0,507951.0,4348574.0,3351704.0,5661912.999999999,1455199.5,677,64,0.0,6903680.985,49894.184,163537.331,0.0,587.0,53.0,37.0
2005-09-30,17094366.739,5089419.476,56462947.460999995,16469597.461,6949354.55,6771327.983,4308502.066,4154601.616,48231324.215,508270.013,4349013.226,3374340.007,5724819.315999999,1426522.0100000002,699,68,0.0,6929254.632,52731.387,169355.307,0.0,604.0,57.0,38.0
2005-10-31,16928627.408,5165908.825,56628029.460999995,16537515.461,6917987.523,6669050.415,4356878.554,4150619.741,48364511.215,508507.013,4355807.226,3399204.007,5570967.307999999,1479808.55,684,70,0.0,6843317.809,55265.508,152192.541,0.0,588.0,60.0,36.0
2005-11-30,16891975.333000004,5255963.404999999,56766920.53,16599711.53,6976440.905,6538550.565,4475715.661,4157231.607,48477738.25,508831.012,4360538.258,3419813.01,5688563.674000001,1451113.998,707,73,0.0,6906713.028,61151.01,171813.634,0.0,607.0,62.0,38.0
2005-12-31,16968106.975999996,5269324.857,56941976.576,16677441.576,7077729.55,6504027.256,4599352.936,4056322.091,48620918.303,510047.011,4368071.202,3442940.06,5757306.527,1510407.2550000001,714,74,0.0,7045826.677,63115.768,158771.337,0.0,611.0,64.0,39.0
2006-01-31,16477583.34,5059562.830999999,57180385.474,16756446.474,7167631.952,5747975.305,4567635.517,4053903.397,48832682.257,509412.012,4371705.199,3466586.006,5762213.334,1581550.753,832,78,0.0,7103425.307,75359.756,164979.024,0.0,722.0,71.0,39.0
2006-02-28,17233968.561,4915160.659,57318674.46,16827487.46,7131815.538,6055942.188,4745343.963,4216027.531,48949655.202,509327.006,4374271.187,3485421.065,5799124.786999999,1435232.2059999998,824,78,0.0,6988389.094,80325.771,165642.128,0.0,708.0,77.0,39.0
2006-03-31,17405709.221,5095133.65,57504933.0,16904415.0,7408516.681,6167308.031,4793045.116,4131973.043,49142423.0,508724.0,4348574.0,3505212.0,5831101.103999999,1621947.9100000001,838,81,0.0,7215018.887,82025.387,156004.74,0.0,722.0,77.0,39.0
2006-04-30,17171681.663,4981711.513,57609801.0,16969396.0,7229825.818,6101496.399,4747896.608,4074174.351,49223956.0,508500.0,4352712.0,3524633.0,6078033.263,1608280.2440000004,868,84,0.0,7430311.109,85797.294,170205.104,0.0,751.0,78.0,39.0
2006-05-31,16365056.454,4926788.88,57789205.0,17035942.0,6933355.613,5969041.151,4334890.944,4054557.626,49381893.0,509025.0,4352090.0,3546197.0,6054723.261,1621001.799,880,83,0.0,7437712.773,83717.85,154294.437,0.0,761.0,81.0,38.0
2006-06-30,16349376.561999999,4920880.916,57924467.0,17106459.0,6963614.779,6046362.36,4225565.464,4034714.875,49488764.0,509097.0,4365959.0,3560647.0,6179427.713,1610560.1090000002,908,87,0.0,7522304.069,94024.798,173658.955,0.0,787.0,82.0,39.0
2006-07-31,16205713.979,4913812.926,58065641.0,17159693.0,6892915.368,6005044.671,4134153.603,4087413.263,49619532.0,510799.0,4365118.0,3570192.0,6293205.795000001,1659276.457,908,88,0.0,7691506.424,96360.988,164614.84,0.0,784.0,85.0,39.0
2006-08-31,16555909.938,5108219.625,58259189.0,17229002.0,6939971.547,6212500.404,4309463.21,4202194.402,49775917.0,509605.0,4373746.0,3599921.0,6538983.279999999,1683122.858,928,88,0.0,7951539.859,98762.253,171804.026,0.0,803.0,86.0,39.0
2006-09-30,16766303.194,5196315.4,58452658.0,17314052.0,7128370.581,6116687.084,4410721.599,4306839.33,49930638.0,509961.0,4382204.0,3629855.0,6341906.427999998,1640952.0430000003,939,89,0.0,7708795.131,101292.18,172771.16,0.0,813.0,87.0,39.0
2006-10-31,16691015.404000001,5336897.364,58578095.0,17389166.0,7182235.971,6149382.454,4480740.602,4215553.741,49993268.0,513017.0,4415790.0,3656020.0,6361145.411,1704562.893,955,89,0.0,7803233.941,101050.249,161424.114,0.0,827.0,89.0,39.0
2006-11-30,17061196.673,5349948.366,58895952.0,17466552.0,7438708.379,6119667.055,4662415.105,4190354.5,50264291.0,513943.0,4426149.0,3691569.0,6486676.38,1654356.4640000002,961,90,0.0,7870171.144,105814.073,165047.627,0.0,827.0,95.0,39.0
2006-12-31,17217019.231000002,5311280.318,58978724.0,17554135.0,7366884.598,6079725.329,4834364.402,4247325.22,50318859.0,514787.0,4430909.0,3714169.0,6289880.109,1675798.978,975,95,0.0,7686837.845,117976.693,160864.549,0.0,832.0,104.0,39.0
2007-01-31,17095007.0,5330791.0,59087811.0,17533428.0,7710353.0,5601371.0,4825523.0,4288551.0,50411787.0,513717.0,4416810.0,3745497.0,6586161.0,1687745.0,970,100,0.0,7990750.0,116057.0,167099.0,0.0,825.0,106.0,39.0
2007-02-28,17232541.0,5112301.0,59354619.0,17754706.0,7392941.0,5983386.0,4809237.0,4159278.0,50616909.0,515950.0,4451294.0,3770466.0,6455990.0,1523837.0,991,101,0.0,7700248.0,114706.0,164873.0,0.0,837.0,114.0,40.0
2007-03-31,17761362.0,5106370.0,59561486.0,17854372.0,7594317.0,6110682.0,4981067.0,4181666.0,50794759.0,517002.0,4463101.0,3786624.0,6745554.0,1699614.0,1008,101,0.0,8165816.0,118403.0,160949.0,0.0,851.0,117.0,40.0
2007-04-30,18235232.0,5275992.0,59555275.0,17773326.0,7728826.0,6298314.0,5155623.0,4328461.0,50809168.0,515303.0,4443663.0,3787141.0,6844698.0,1674822.0,1022,105,0.0,8212809.0,131718.0,174993.0,0.0,861.0,121.0,40.0
2007-05-31,17437899.0,5302378.0,59748280.0,17856812.0,7491488.0,6202432.0,4745510.0,4300847.0,50968860.0,515456.0,4454119.0,3809845.0,6922849.0,1719791.0,1048,105,0.0,8355324.0,118608.0,168708.0,0.0,886.0,122.0,40.0
2007-06-30,16859100.0,5307580.0,59931782.0,17933404.0,7204161.0,6291358.0,4450888.0,4220273.0,51120945.0,516307.0,4463096.0,3831434.0,6928761.0,1671319.0,1103,105,0.0,8290954.0,136252.0,172874.0,0.0,900.0,162.0,41.0
2007-07-31,16524070.0,5284790.0,60058994.0,18010699.0,7071277.0,6179612.0,4353510.0,4204461.0,51216986.0,517260.0,4470386.0,3854362.0,6932591.0,1759888.0,1119,106,0.0,8389591.0,133378.0,169510.0,0.0,918.0,157.0,44.0
2007-08-31,16917071.0,5388495.0,60295467.0,18092793.0,7344516.0,6269518.0,4407561.0,4283971.0,51420926.0,518336.0,4479755.0,3876450.0,7100402.0,1775165.0,1126,106,0.0,8590485.0,112664.0,172418.0,0.0,931.0,154.0,41.0
2007-09-30,17532504.0,5354605.0,60452089.0,18173697.0,7449312.0,6339584.0,4642086.0,4456127.0,51518818.0,519630.0,4487038.0,3926603.0,7090601.0,1758026.0,1136,108,0.0,8526694.0,145097.0,176836.0,0.0,940.0,155.0,41.0
