Nome: FAINA
Codigo Estacao: A007
Latitude: -15.43333333
Longitude: -50.36666666
Altitude: 332
Situacao: Desativada
Data Inicial: 2004-01-01
Data Final: 2005-08-15
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2004-01-31;24,8;
2004-02-29;24,7;
2004-03-31;25,5;
2004-04-30;25,5;
2004-05-31;25;
2004-06-30;23;
2004-07-31;23,5;
2004-08-31;25,4;
2004-09-30;28,3;
2004-10-31;null;
2004-11-30;null;
2004-12-31;null;
2005-01-31;null;
2005-02-28;null;
2005-03-31;null;
2005-04-30;null;
2005-05-31;null;
2005-06-30;null;
2005-07-31;null;
2005-08-31;null;

