Nome: PORTO DE MOZ
Codigo Estacao: A245
Latitude: -1.82194443
Longitude: -52.11166666
Altitude: 19
Situacao: Operante
Data Inicial: 2022-04-06
Data Final: 2025-07-31
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2022-04-30;26,1;
2022-05-31;26,1;
2022-06-30;25,8;
2022-07-31;26,5;
2022-08-31;26,8;
2022-09-30;27,6;
2022-10-31;27,9;
2022-11-30;27,3;
2022-12-31;26,5;
2023-01-31;25,6;
2023-02-28;25,6;
2023-03-31;26;
2023-04-30;26,3;
2023-05-31;26,8;
2023-06-30;26,8;
2023-07-31;27,1;
2023-08-31;28,1;
2023-09-30;28,6;
2023-10-31;29;
2023-11-30;28,7;
2023-12-31;27,4;
2024-01-31;27,2;
2024-02-29;27;
2024-03-31;27;
2024-04-30;27,3;
2024-05-31;27,3;
2024-06-30;27,4;
2024-07-31;27,3;
2024-08-31;27,7;
2024-09-30;29,1;
2024-10-31;28,8;
2024-11-30;29,1;
2024-12-31;27,8;
2025-01-31;26,4;
2025-02-28;26,2;
2025-03-31;26,6;
2025-04-30;26,6;
2025-05-31;27,1;
2025-06-30;26,9;
2025-07-31;null;

