Nome: CAMPO MAIOR
Codigo Estacao: A376
Latitude: -4.86416666
Longitude: -42.14555555
Altitude: 125
Situacao: Pane
Data Inicial: 2018-11-22
Data Final: 2025-07-31
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2018-11-30;null;
2018-12-31;null;
2019-01-31;null;
2019-02-28;null;
2019-03-31;null;
2019-04-30;26,4;
2019-05-31;26,9;
2019-06-30;27;
2019-07-31;27,7;
2019-08-31;28,8;
2019-09-30;29,9;
2019-10-31;30,2;
2019-11-30;30,6;
2019-12-31;30,2;
2020-01-31;27;
2020-02-29;26,5;
2020-03-31;26,4;
2020-04-30;26,9;
2020-05-31;27,1;
2020-06-30;27,4;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;
2022-02-28;null;
2022-03-31;null;
2022-04-30;null;
2022-05-31;null;
2022-06-30;null;
2022-07-31;null;
2022-08-31;28,5;
2022-09-30;29,6;
2022-10-31;30,2;
2022-11-30;28,5;
2022-12-31;null;
2023-01-31;26,7;
2023-02-28;26,8;
2023-03-31;25,9;
2023-04-30;26,6;
2023-05-31;27,6;
2023-06-30;27,6;
2023-07-31;28,4;
2023-08-31;29,4;
2023-09-30;30,6;
2023-10-31;31,1;
2023-11-30;null;
2023-12-31;null;
2024-01-31;null;
2024-02-29;null;
2024-03-31;27,4;
2024-04-30;null;
2024-05-31;null;
2024-06-30;null;
2024-07-31;null;
2024-08-31;29,2;
2024-09-30;30,4;
2024-10-31;31;
2024-11-30;null;
2024-12-31;null;
2025-01-31;null;
2025-02-28;null;
2025-03-31;null;
2025-04-30;null;
2025-05-31;null;
2025-06-30;null;
2025-07-31;null;

