Nome: PILAO ARCADO
Codigo Estacao: A449
Latitude: -10.01833332
Longitude: -42.50027777
Altitude: 385
Situacao: Fechada
Data Inicial: 2016-05-27
Data Final: 2022-09-12
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2016-05-31;null;
2016-06-30;26,8;
2016-07-31;null;
2016-08-31;null;
2016-09-30;28,2;
2016-10-31;29,6;
2016-11-30;28,3;
2016-12-31;27,8;
2017-01-31;29,1;
2017-02-28;26,8;
2017-03-31;27,4;
2017-04-30;null;
2017-05-31;27,2;
2017-06-30;26,4;
2017-07-31;24,4;
2017-08-31;null;
2017-09-30;null;
2017-10-31;null;
2017-11-30;null;
2017-12-31;null;
2018-01-31;null;
2018-02-28;null;
2018-03-31;null;
2018-04-30;null;
2018-05-31;25,8;
2018-06-30;25,1;
2018-07-31;24,7;
2018-08-31;26,2;
2018-09-30;27,9;
2018-10-31;28,9;
2018-11-30;28,7;
2018-12-31;26,3;
2019-01-31;28,7;
2019-02-28;27,7;
2019-03-31;27,2;
2019-04-30;26,7;
2019-05-31;27,3;
2019-06-30;26,1;
2019-07-31;null;
2019-08-31;null;
2019-09-30;null;
2019-10-31;29,3;
2019-11-30;29,8;
2019-12-31;29,8;
2020-01-31;26,4;
2020-02-29;26,9;
2020-03-31;25,9;
2020-04-30;27,1;
2020-05-31;27,1;
2020-06-30;26;
2020-07-31;null;
2020-08-31;26,7;
2020-09-30;27,7;
2020-10-31;29;
2020-11-30;27,3;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;
2022-02-28;null;
2022-03-31;null;
2022-04-30;null;
2022-05-31;null;
2022-06-30;null;
2022-07-31;null;
2022-08-31;null;
2022-09-30;null;

