Nome: MACAUBAS
Codigo Estacao: A454
Latitude: -13.03888888
Longitude: -42.61722221
Altitude: 574
Situacao: Desativada
Data Inicial: 2016-04-06
Data Final: 2019-04-21
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2016-04-30;null;
2016-05-31;null;
2016-06-30;24,4;
2016-07-31;23,4;
2016-08-31;25,3;
2016-09-30;25,9;
2016-10-31;27,3;
2016-11-30;26,5;
2016-12-31;26,1;
2017-01-31;null;
2017-02-28;null;
2017-03-31;27,8;
2017-04-30;25,9;
2017-05-31;25,2;
2017-06-30;23,9;
2017-07-31;22;
2017-08-31;24;
2017-09-30;24,7;
2017-10-31;28;
2017-11-30;25,8;
2017-12-31;26,1;
2018-01-31;27;
2018-02-28;25,2;
2018-03-31;25,2;
2018-04-30;25;
2018-05-31;24,9;
2018-06-30;23,6;
2018-07-31;22,7;
2018-08-31;25,4;
2018-09-30;27,1;
2018-10-31;28,3;
2018-11-30;26,5;
2018-12-31;25;
2019-01-31;27,3;
2019-02-28;27,2;
2019-03-31;null;
2019-04-30;null;

