Nome: CONTAGEM
Codigo Estacao: A501
Latitude: -19.95
Longitude: -44.08333333
Altitude: 980
Situacao: Desativada
Data Inicial: 2004-01-01
Data Final: 2008-06-24
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2004-01-31;21,9;
2004-02-29;null;
2004-03-31;null;
2004-04-30;21,1;
2004-05-31;19,7;
2004-06-30;18;
2004-07-31;17;
2004-08-31;19,7;
2004-09-30;22,3;
2004-10-31;22,3;
2004-11-30;22,9;
2004-12-31;21,7;
2005-01-31;22,5;
2005-02-28;22,3;
2005-03-31;22,2;
2005-04-30;22;
2005-05-31;20;
2005-06-30;null;
2005-07-31;18,1;
2005-08-31;20,7;
2005-09-30;20,6;
2005-10-31;24,1;
2005-11-30;20;
2005-12-31;21;
2006-01-31;23,2;
2006-02-28;24;
2006-03-31;22;
2006-04-30;21,8;
2006-05-31;19,2;
2006-06-30;17,7;
2006-07-31;18,8;
2006-08-31;20,3;
2006-09-30;20,3;
2006-10-31;21,2;
2006-11-30;21,1;
2006-12-31;21,8;
2007-01-31;22;
2007-02-28;22,3;
2007-03-31;23,8;
2007-04-30;22,2;
2007-05-31;19,7;
2007-06-30;19,3;
2007-07-31;19,1;
2007-08-31;19,7;
2007-09-30;21,2;
2007-10-31;23,2;
2007-11-30;22,8;
2007-12-31;22,9;
2008-01-31;21,7;
2008-02-29;22,8;
2008-03-31;22,2;
2008-04-30;22,4;
2008-05-31;19,8;
2008-06-30;19,9;

