Nome: CARANGOLA
Codigo Estacao: A503
Latitude: -20.74166666
Longitude: -42.01749999
Altitude: 399
Situacao: Desativada
Data Inicial: 2004-01-01
Data Final: 2010-09-21
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2004-01-31;25,6;
2004-02-29;25,7;
2004-03-31;24,7;
2004-04-30;24,8;
2004-05-31;23,6;
2004-06-30;null;
2004-07-31;null;
2004-08-31;null;
2004-09-30;null;
2004-10-31;null;
2004-11-30;null;
2004-12-31;26,2;
2005-01-31;26,9;
2005-02-28;26;
2005-03-31;26,2;
2005-04-30;25,7;
2005-05-31;23,3;
2005-06-30;21,7;
2005-07-31;20,8;
2005-08-31;23,2;
2005-09-30;23,7;
2005-10-31;26,9;
2005-11-30;24;
2005-12-31;25,2;
2006-01-31;27,6;
2006-02-28;28,8;
2006-03-31;26,5;
2006-04-30;24,3;
2006-05-31;21,7;
2006-06-30;20,6;
2006-07-31;21,1;
2006-08-31;22,8;
2006-09-30;20,1;
2006-10-31;21,4;
2006-11-30;22,2;
2006-12-31;22,8;
2007-01-31;23,5;
2007-02-28;23,2;
2007-03-31;24,2;
2007-04-30;22,1;
2007-05-31;18,8;
2007-06-30;18,6;
2007-07-31;18,7;
2007-08-31;19,4;
2007-09-30;21,1;
2007-10-31;23,2;
2007-11-30;22,8;
2007-12-31;24;
2008-01-31;22,7;
2008-02-29;23,4;
2008-03-31;22,8;
2008-04-30;22,5;
2008-05-31;19;
2008-06-30;18,2;
2008-07-31;17,3;
2008-08-31;19,9;
2008-09-30;20,1;
2008-10-31;22,5;
2008-11-30;21,4;
2008-12-31;null;
2009-01-31;null;
2009-02-28;null;
2009-03-31;null;
2009-04-30;null;
2009-05-31;null;
2009-06-30;null;
2009-07-31;null;
2009-08-31;20,6;
2009-09-30;23,7;
2009-10-31;23,2;
2009-11-30;25,8;
2009-12-31;25,1;
2010-01-31;26,8;
2010-02-28;26,5;
2010-03-31;25;
2010-04-30;22,7;
2010-05-31;20,8;
2010-06-30;18,3;
2010-07-31;19,8;
2010-08-31;19,5;
2010-09-30;21,9;

