Nome: NITEROI
Codigo Estacao: A605
Latitude: -22.90643
Longitude: -43.133437
Altitude: 10.58
Situacao: Desativada
Data Inicial: 2004-01-01
Data Final: 2009-07-16
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2004-01-31;null;
2004-02-29;null;
2004-03-31;null;
2004-04-30;null;
2004-05-31;null;
2004-06-30;null;
2004-07-31;null;
2004-08-31;null;
2004-09-30;null;
2004-10-31;null;
2004-11-30;null;
2004-12-31;null;
2005-01-31;null;
2005-02-28;null;
2005-03-31;null;
2005-04-30;null;
2005-05-31;null;
2005-06-30;null;
2005-07-31;null;
2005-08-31;null;
2005-09-30;null;
2005-10-31;24,3;
2005-11-30;null;
2005-12-31;24,3;
2006-01-31;null;
2006-02-28;null;
2006-03-31;null;
2006-04-30;null;
2006-05-31;null;
2006-06-30;null;
2006-07-31;null;
2006-08-31;null;
2006-09-30;null;
2006-10-31;null;
2006-11-30;23,4;
2006-12-31;25;
2007-01-31;24,8;
2007-02-28;26,1;
2007-03-31;26,1;
2007-04-30;25,3;
2007-05-31;22;
2007-06-30;21,5;
2007-07-31;20,9;
2007-08-31;21,1;
2007-09-30;22,1;
2007-10-31;22,2;
2007-11-30;23,6;
2007-12-31;25,2;
2008-01-31;24,7;
2008-02-29;24,4;
2008-03-31;24;
2008-04-30;23,6;
2008-05-31;21,7;
2008-06-30;20,8;
2008-07-31;20,3;
2008-08-31;22;
2008-09-30;19,5;
2008-10-31;20,8;
2008-11-30;20,7;
2008-12-31;21,5;
2009-01-31;23,5;
2009-02-28;25,2;
2009-03-31;24,7;
2009-04-30;22,7;
2009-05-31;22,3;
2009-06-30;20,2;
2009-07-31;20,7;

