Nome: RIO CLARO
Codigo Estacao: A626
Latitude: -22.653579
Longitude: -44.040916
Altitude: 516
Situacao: Operante
Data Inicial: 2016-06-02
Data Final: 2025-07-31
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2016-06-30;15,6;
2016-07-31;17,3;
2016-08-31;18,4;
2016-09-30;19,8;
2016-10-31;21,1;
2016-11-30;21,4;
2016-12-31;23,3;
2017-01-31;24,2;
2017-02-28;24,4;
2017-03-31;22,5;
2017-04-30;21;
2017-05-31;18,8;
2017-06-30;18,1;
2017-07-31;16,5;
2017-08-31;17,1;
2017-09-30;20,1;
2017-10-31;22,3;
2017-11-30;null;
2017-12-31;23,1;
2018-01-31;23,6;
2018-02-28;22,9;
2018-03-31;23,9;
2018-04-30;21,6;
2018-05-31;19,2;
2018-06-30;18,4;
2018-07-31;18,2;
2018-08-31;17,9;
2018-09-30;20,4;
2018-10-31;21;
2018-11-30;21,8;
2018-12-31;23,4;
2019-01-31;25,5;
2019-02-28;23,9;
2019-03-31;23,2;
2019-04-30;22,7;
2019-05-31;20,8;
2019-06-30;18,8;
2019-07-31;16,9;
2019-08-31;17,6;
2019-09-30;20,3;
2019-10-31;22,1;
2019-11-30;21,7;
2019-12-31;23;
2020-01-31;23,4;
2020-02-29;22,9;
2020-03-31;21,9;
2020-04-30;20,5;
2020-05-31;17,9;
2020-06-30;18,7;
2020-07-31;18,4;
2020-08-31;18,3;
2020-09-30;22,1;
2020-10-31;21,8;
2020-11-30;21,5;
2020-12-31;23,1;
2021-01-31;25;
2021-02-28;23;
2021-03-31;23,6;
2021-04-30;20,6;
2021-05-31;19,1;
2021-06-30;17,8;
2021-07-31;15,7;
2021-08-31;18,4;
2021-09-30;21;
2021-10-31;20,1;
2021-11-30;20,5;
2021-12-31;21,7;
2022-01-31;23,8;
2022-02-28;23,1;
2022-03-31;24,2;
2022-04-30;21,4;
2022-05-31;18,3;
2022-06-30;17;
2022-07-31;18,3;
2022-08-31;17,9;
2022-09-30;17,9;
2022-10-31;21,5;
2022-11-30;20;
2022-12-31;21,8;
2023-01-31;22,8;
2023-02-28;23,8;
2023-03-31;23,4;
2023-04-30;20,9;
2023-05-31;18,7;
2023-06-30;17,3;
2023-07-31;17,8;
2023-08-31;null;
2023-09-30;22,1;
2023-10-31;22;
2023-11-30;23,6;
2023-12-31;24;
2024-01-31;23,7;
2024-02-29;24,1;
2024-03-31;24,2;
2024-04-30;22,5;
2024-05-31;21,5;
2024-06-30;19;
2024-07-31;18,3;
2024-08-31;18,5;
2024-09-30;22,4;
2024-10-31;21,5;
2024-11-30;22,1;
2024-12-31;23,4;
2025-01-31;23,6;
2025-02-28;25,9;
2025-03-31;24,1;
2025-04-30;21,3;
2025-05-31;19,1;
2025-06-30;18;
2025-07-31;16,3;

