Nome: MARILANDIA
Codigo Estacao: A632
Latitude: -19.40722222
Longitude: -40.53972221
Altitude: 95
Situacao: Operante
Data Inicial: 2017-03-21
Data Final: 2025-07-31
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2017-03-31;null;
2017-04-30;24,9;
2017-05-31;22,5;
2017-06-30;21,9;
2017-07-31;19,3;
2017-08-31;20;
2017-09-30;21,4;
2017-10-31;25,2;
2017-11-30;24,3;
2017-12-31;25,2;
2018-01-31;27;
2018-02-28;25,6;
2018-03-31;26,3;
2018-04-30;23,5;
2018-05-31;21,8;
2018-06-30;21,5;
2018-07-31;20,8;
2018-08-31;22,1;
2018-09-30;23,3;
2018-10-31;24,7;
2018-11-30;24,6;
2018-12-31;25,4;
2019-01-31;27,3;
2019-02-28;28;
2019-03-31;27,1;
2019-04-30;26,5;
2019-05-31;24,6;
2019-06-30;22,4;
2019-07-31;21;
2019-08-31;21,6;
2019-09-30;24,2;
2019-10-31;25,3;
2019-11-30;25;
2019-12-31;25,9;
2020-01-31;26,7;
2020-02-29;26,6;
2020-03-31;24,9;
2020-04-30;24;
2020-05-31;21,6;
2020-06-30;21,2;
2020-07-31;20,9;
2020-08-31;21,2;
2020-09-30;24,2;
2020-10-31;24,9;
2020-11-30;24,5;
2020-12-31;26,8;
2021-01-31;26,3;
2021-02-28;25,6;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;23,8;
2021-12-31;24,6;
2022-01-31;26,6;
2022-02-28;25,9;
2022-03-31;26,1;
2022-04-30;25,2;
2022-05-31;22,3;
2022-06-30;20,4;
2022-07-31;20,9;
2022-08-31;21,7;
2022-09-30;22,5;
2022-10-31;25,3;
2022-11-30;23,4;
2022-12-31;24,9;
2023-01-31;26;
2023-02-28;27,2;
2023-03-31;26,4;
2023-04-30;24,9;
2023-05-31;22,3;
2023-06-30;21,2;
2023-07-31;21;
2023-08-31;22,5;
2023-09-30;24,1;
2023-10-31;25,7;
2023-11-30;27,3;
2023-12-31;27,8;
2024-01-31;27,1;
2024-02-29;26,6;
2024-03-31;27,8;
2024-04-30;null;
2024-05-31;null;
2024-06-30;null;
2024-07-31;null;
2024-08-31;22,7;
2024-09-30;24,7;
2024-10-31;25,3;
2024-11-30;25;
2024-12-31;27;
2025-01-31;26,6;
2025-02-28;27,2;
2025-03-31;26,4;
2025-04-30;25;
2025-05-31;22,6;
2025-06-30;21,4;
2025-07-31;20,8;

