Nome: ITATIAIA - AGULHAS NEGRAS
Codigo Estacao: A635
Latitude: -22.37388888
Longitude: -44.70305555
Altitude: 2450
Situacao: Desativada
Data Inicial: 2017-08-31
Data Final: 2022-11-07
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2017-08-31;null;
2017-09-30;9,3;
2017-10-31;11,7;
2017-11-30;10,9;
2017-12-31;12,2;
2018-01-31;12,5;
2018-02-28;12;
2018-03-31;12,8;
2018-04-30;9,7;
2018-05-31;7,8;
2018-06-30;7,6;
2018-07-31;6,9;
2018-08-31;7,9;
2018-09-30;9,8;
2018-10-31;11,9;
2018-11-30;11,3;
2018-12-31;12,3;
2019-01-31;13,6;
2019-02-28;12,9;
2019-03-31;12,1;
2019-04-30;11,3;
2019-05-31;9,8;
2019-06-30;7,8;
2019-07-31;6,6;
2019-08-31;8,3;
2019-09-30;11,3;
2019-10-31;11,8;
2019-11-30;12,1;
2019-12-31;12,2;
2020-01-31;13,1;
2020-02-29;12,7;
2020-03-31;10,7;
2020-04-30;9,7;
2020-05-31;8;
2020-06-30;8,5;
2020-07-31;8,2;
2020-08-31;7,4;
2020-09-30;11;
2020-10-31;12;
2020-11-30;10,9;
2020-12-31;12,6;
2021-01-31;13,2;
2021-02-28;11,8;
2021-03-31;12,1;
2021-04-30;8,7;
2021-05-31;8,5;
2021-06-30;7,3;
2021-07-31;5,6;
2021-08-31;8,1;
2021-09-30;12,5;
2021-10-31;11,1;
2021-11-30;11;
2021-12-31;11,2;
2022-01-31;12,5;
2022-02-28;12,2;
2022-03-31;12,4;
2022-04-30;10,7;
2022-05-31;7,1;
2022-06-30;7,3;
2022-07-31;null;
2022-08-31;null;
2022-09-30;null;
2022-10-31;null;
2022-11-30;null;

