Nome: Paty do Alferes - Avelar
Codigo Estacao: A637
Latitude: -22.34722221
Longitude: -43.41777777
Altitude: 508
Situacao: Operante
Data Inicial: 2022-11-09
Data Final: 2025-07-31
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2022-11-30;21,4;
2022-12-31;22;
2023-01-31;22,8;
2023-02-28;24;
2023-03-31;23,4;
2023-04-30;20,8;
2023-05-31;17,7;
2023-06-30;15,9;
2023-07-31;16,9;
2023-08-31;18,8;
2023-09-30;21,7;
2023-10-31;22,8;
2023-11-30;23,8;
2023-12-31;24,5;
2024-01-31;23,9;
2024-02-29;24,1;
2024-03-31;23,9;
2024-04-30;21,9;
2024-05-31;20,7;
2024-06-30;17,3;
2024-07-31;17,2;
2024-08-31;17,2;
2024-09-30;21,2;
2024-10-31;21,9;
2024-11-30;22,4;
2024-12-31;23,5;
2025-01-31;23,8;
2025-02-28;24,5;
2025-03-31;23,6;
2025-04-30;21,4;
2025-05-31;18,1;
2025-06-30;17,2;
2025-07-31;15,5;

