Nome: MOELA
Codigo Estacao: A745
Latitude: -24.047845
Longitude: -46.26334
Altitude: 32.47
Situacao: Desativada
Data Inicial: 2008-07-24
Data Final: 2017-05-17
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2008-07-31;null;
2008-08-31;null;
2008-09-30;null;
2008-10-31;null;
2008-11-30;null;
2008-12-31;null;
2009-01-31;null;
2009-02-28;null;
2009-03-31;null;
2009-04-30;24,4;
2009-05-31;22,9;
2009-06-30;19,7;
2009-07-31;null;
2009-08-31;null;
2009-09-30;null;
2009-10-31;null;
2009-11-30;null;
2009-12-31;null;
2010-01-31;null;
2010-02-28;29,4;
2010-03-31;26,5;
2010-04-30;null;
2010-05-31;22,5;
2010-06-30;21;
2010-07-31;21,1;
2010-08-31;null;
2010-09-30;null;
2010-10-31;null;
2010-11-30;23,7;
2010-12-31;24,9;
2011-01-31;26,8;
2011-02-28;27,5;
2011-03-31;null;
2011-04-30;null;
2011-05-31;null;
2011-06-30;null;
2011-07-31;null;
2011-08-31;null;
2011-09-30;null;
2011-10-31;null;
2011-11-30;null;
2011-12-31;null;
2012-01-31;null;
2012-02-29;26,5;
2012-03-31;24,5;
2012-04-30;24,4;
2012-05-31;22,3;
2012-06-30;null;
2012-07-31;20,3;
2012-08-31;20,6;
2012-09-30;21,8;
2012-10-31;22,8;
2012-11-30;22,8;
2012-12-31;27;
2013-01-31;null;
2013-02-28;28,1;
2013-03-31;null;
2013-04-30;null;
2013-05-31;null;
2013-06-30;null;
2013-07-31;null;
2013-08-31;null;
2013-09-30;20,1;
2013-10-31;21,5;
2013-11-30;23;
2013-12-31;25,4;
2014-01-31;28;
2014-02-28;27,2;
2014-03-31;25,9;
2014-04-30;24;
2014-05-31;22,2;
2014-06-30;21;
2014-07-31;19,9;
2014-08-31;20,5;
2014-09-30;21,6;
2014-10-31;22,5;
2014-11-30;23,9;
2014-12-31;24,7;
2015-01-31;null;
2015-02-28;null;
2015-03-31;null;
2015-04-30;null;
2015-05-31;null;
2015-06-30;null;
2015-07-31;null;
2015-08-31;null;
2015-09-30;null;
2015-10-31;null;
2015-11-30;null;
2015-12-31;null;
2016-01-31;null;
2016-02-29;null;
2016-03-31;null;
2016-04-30;null;
2016-05-31;null;
2016-06-30;null;
2016-07-31;null;
2016-08-31;null;
2016-09-30;null;
2016-10-31;null;
2016-11-30;null;
2016-12-31;null;
2017-01-31;null;
2017-02-28;null;
2017-03-31;null;
2017-04-30;null;
2017-05-31;null;

