Nome: SAO SEBASTIAO
Codigo Estacao: A767
Latitude: -23.81083333
Longitude: -45.4025
Altitude: 24
Situacao: Desativada
Data Inicial: 2017-10-24
Data Final: 2022-03-15
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2017-10-31;null;
2017-11-30;23,2;
2017-12-31;25,1;
2018-01-31;26,5;
2018-02-28;25,6;
2018-03-31;27,2;
2018-04-30;25;
2018-05-31;22,9;
2018-06-30;21,4;
2018-07-31;20,9;
2018-08-31;19,7;
2018-09-30;21,9;
2018-10-31;22,8;
2018-11-30;23,7;
2018-12-31;26,2;
2019-01-31;28,8;
2019-02-28;26,6;
2019-03-31;26,1;
2019-04-30;25,4;
2019-05-31;24;
2019-06-30;22,5;
2019-07-31;20,8;
2019-08-31;21;
2019-09-30;21,4;
2019-10-31;24;
2019-11-30;23,4;
2019-12-31;25,1;
2020-01-31;26,2;
2020-02-29;25,5;
2020-03-31;25,2;
2020-04-30;23,5;
2020-05-31;21,9;
2020-06-30;null;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;
2022-02-28;null;
2022-03-31;null;

