Nome: SAO BORJA
Codigo Estacao: A830
Latitude: -28.65
Longitude: -56.01638888
Altitude: 81.08
Situacao: Operante
Data Inicial: 2007-07-20
Data Final: 2025-07-31
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2007-07-31;null;
2007-08-31;14,2;
2007-09-30;20,3;
2007-10-31;22,2;
2007-11-30;21,4;
2007-12-31;25,9;
2008-01-31;26,6;
2008-02-29;25,8;
2008-03-31;24,2;
2008-04-30;19,9;
2008-05-31;15,8;
2008-06-30;13,4;
2008-07-31;17,6;
2008-08-31;16,1;
2008-09-30;16,3;
2008-10-31;20,7;
2008-11-30;24,4;
2008-12-31;26,2;
2009-01-31;25,4;
2009-02-28;26;
2009-03-31;24,6;
2009-04-30;21,9;
2009-05-31;18,6;
2009-06-30;null;
2009-07-31;11,9;
2009-08-31;17,1;
2009-09-30;17,2;
2009-10-31;20,8;
2009-11-30;24,8;
2009-12-31;25,3;
2010-01-31;26;
2010-02-28;26,6;
2010-03-31;24,8;
2010-04-30;20,4;
2010-05-31;16,2;
2010-06-30;15,6;
2010-07-31;14,2;
2010-08-31;15,5;
2010-09-30;18;
2010-10-31;19,7;
2010-11-30;22,4;
2010-12-31;25,2;
2011-01-31;27,1;
2011-02-28;25,1;
2011-03-31;24,1;
2011-04-30;21,9;
2011-05-31;null;
2011-06-30;14,2;
2011-07-31;14;
2011-08-31;15,8;
2011-09-30;18,5;
2011-10-31;20,6;
2011-11-30;23,9;
2011-12-31;24,4;
2012-01-31;26,6;
2012-02-29;null;
2012-03-31;22;
2012-04-30;20,3;
2012-05-31;19,2;
2012-06-30;15,3;
2012-07-31;12,9;
2012-08-31;19,6;
2012-09-30;19,6;
2012-10-31;21,2;
2012-11-30;24,8;
2012-12-31;25,5;
2013-01-31;24,9;
2013-02-28;25;
2013-03-31;21,5;
2013-04-30;20,4;
2013-05-31;16,8;
2013-06-30;15;
2013-07-31;14,7;
2013-08-31;13,7;
2013-09-30;17,8;
2013-10-31;21,2;
2013-11-30;23,6;
2013-12-31;26,5;
2014-01-31;26,9;
2014-02-28;null;
2014-03-31;22,4;
2014-04-30;21;
2014-05-31;16,9;
2014-06-30;15,2;
2014-07-31;15,9;
2014-08-31;17,5;
2014-09-30;19,4;
2014-10-31;22,8;
2014-11-30;24,1;
2014-12-31;24,6;
2015-01-31;25,5;
2015-02-28;25,6;
2015-03-31;24,2;
2015-04-30;21,6;
2015-05-31;18,2;
2015-06-30;16,5;
2015-07-31;15,1;
2015-08-31;19,9;
2015-09-30;18,4;
2015-10-31;20,4;
2015-11-30;22;
2015-12-31;24,5;
2016-01-31;27,2;
2016-02-29;26,4;
2016-03-31;null;
2016-04-30;null;
2016-05-31;null;
2016-06-30;null;
2016-07-31;13,9;
2016-08-31;17,2;
2016-09-30;17,1;
2016-10-31;20,6;
2016-11-30;22,4;
2016-12-31;25,2;
2017-01-31;25,8;
2017-02-28;25,3;
2017-03-31;23,9;
2017-04-30;19,9;
2017-05-31;null;
2017-06-30;null;
2017-07-31;null;
2017-08-31;18;
2017-09-30;20,6;
2017-10-31;20,6;
2017-11-30;22,3;
2017-12-31;26,1;
2018-01-31;25,4;
2018-02-28;25;
2018-03-31;23,4;
2018-04-30;23,8;
2018-05-31;18,7;
2018-06-30;13;
2018-07-31;14,1;
2018-08-31;13,9;
2018-09-30;20,1;
2018-10-31;21,2;
2018-11-30;23,9;
2018-12-31;null;
2019-01-31;null;
2019-02-28;24,8;
2019-03-31;22,6;
2019-04-30;21,7;
2019-05-31;18,8;
2019-06-30;18,6;
2019-07-31;14,4;
2019-08-31;16;
2019-09-30;18,7;
2019-10-31;22,2;
2019-11-30;24,3;
2019-12-31;25,1;
2020-01-31;26;
2020-02-29;25,1;
2020-03-31;25,8;
2020-04-30;20,2;
2020-05-31;16,4;
2020-06-30;18,9;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;25;
2021-02-28;24,5;
2021-03-31;23,7;
2021-04-30;21,6;
2021-05-31;15,8;
2021-06-30;13,9;
2021-07-31;14,3;
2021-08-31;17,4;
2021-09-30;19,3;
2021-10-31;20,6;
2021-11-30;23,6;
2021-12-31;26,3;
2022-01-31;29,5;
2022-02-28;27,4;
2022-03-31;22,9;
2022-04-30;19,9;
2022-05-31;15,3;
2022-06-30;13,1;
2022-07-31;18,2;
2022-08-31;15,4;
2022-09-30;16,3;
2022-10-31;19,4;
2022-11-30;22,8;
2022-12-31;27,1;
2023-01-31;28,1;
2023-02-28;26,8;
2023-03-31;27,3;
2023-04-30;null;
2023-05-31;null;
2023-06-30;null;
2023-07-31;null;
2023-08-31;18;
2023-09-30;19,9;
2023-10-31;20,3;
2023-11-30;23,6;
2023-12-31;25,2;
2024-01-31;25,3;
2024-02-29;27,2;
2024-03-31;24,9;
2024-04-30;22,6;
2024-05-31;16,2;
2024-06-30;18,5;
2024-07-31;14,4;
2024-08-31;16,3;
2024-09-30;20,2;
2024-10-31;21,9;
2024-11-30;24,2;
2024-12-31;23,9;
2025-01-31;26,8;
2025-02-28;28,3;
2025-03-31;25,7;
2025-04-30;19,7;
2025-05-31;18,5;
2025-06-30;13;
2025-07-31;14,2;

