Nome: ILHA DO MEL
Codigo Estacao: A847
Latitude: -25.49444444
Longitude: -48.3261111
Altitude: 4.01
Situacao: Fechada
Data Inicial: 2007-03-22
Data Final: 2018-02-01
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2007-03-31;null;
2007-04-30;24;
2007-05-31;19,4;
2007-06-30;18,5;
2007-07-31;16,4;
2007-08-31;16,5;
2007-09-30;19,6;
2007-10-31;21,4;
2007-11-30;22,3;
2007-12-31;24,4;
2008-01-31;24,3;
2008-02-29;24,8;
2008-03-31;24,3;
2008-04-30;22,1;
2008-05-31;19,6;
2008-06-30;17,4;
2008-07-31;18,4;
2008-08-31;19,2;
2008-09-30;18,2;
2008-10-31;20,9;
2008-11-30;22;
2008-12-31;22,8;
2009-01-31;24,4;
2009-02-28;25,4;
2009-03-31;25,5;
2009-04-30;23,2;
2009-05-31;21,2;
2009-06-30;17,2;
2009-07-31;17,5;
2009-08-31;17,9;
2009-09-30;19,5;
2009-10-31;20,2;
2009-11-30;24,8;
2009-12-31;25,2;
2010-01-31;25,6;
2010-02-28;26,9;
2010-03-31;25;
2010-04-30;null;
2010-05-31;null;
2010-06-30;null;
2010-07-31;null;
2010-08-31;null;
2010-09-30;null;
2010-10-31;19,6;
2010-11-30;22,2;
2010-12-31;23,4;
2011-01-31;26;
2011-02-28;25,7;
2011-03-31;23,6;
2011-04-30;null;
2011-05-31;19,7;
2011-06-30;17,5;
2011-07-31;16,8;
2011-08-31;17,2;
2011-09-30;17,9;
2011-10-31;20,6;
2011-11-30;21;
2011-12-31;23;
2012-01-31;23,9;
2012-02-29;24,9;
2012-03-31;23,6;
2012-04-30;22,3;
2012-05-31;19,7;
2012-06-30;17;
2012-07-31;17;
2012-08-31;18,6;
2012-09-30;19,9;
2012-10-31;21,1;
2012-11-30;21,8;
2012-12-31;24,3;
2013-01-31;23,4;
2013-02-28;24,5;
2013-03-31;23,5;
2013-04-30;null;
2013-05-31;null;
2013-06-30;null;
2013-07-31;null;
2013-08-31;null;
2013-09-30;null;
2013-10-31;20,3;
2013-11-30;22,2;
2013-12-31;24,4;
2014-01-31;26,5;
2014-02-28;26,5;
2014-03-31;24,7;
2014-04-30;22,5;
2014-05-31;20,3;
2014-06-30;19;
2014-07-31;17,6;
2014-08-31;18,4;
2014-09-30;20,2;
2014-10-31;21,8;
2014-11-30;23;
2014-12-31;24,8;
2015-01-31;26,4;
2015-02-28;25,4;
2015-03-31;24,4;
2015-04-30;22,8;
2015-05-31;20,4;
2015-06-30;18,9;
2015-07-31;18,6;
2015-08-31;20,2;
2015-09-30;20,3;
2015-10-31;20,3;
2015-11-30;21,7;
2015-12-31;24,9;
2016-01-31;25,2;
2016-02-29;26,2;
2016-03-31;24,8;
2016-04-30;26,2;
2016-05-31;null;
2016-06-30;14,4;
2016-07-31;null;
2016-08-31;null;
2016-09-30;18,7;
2016-10-31;20;
2016-11-30;null;
2016-12-31;25,2;
2017-01-31;25,9;
2017-02-28;26,4;
2017-03-31;24,2;
2017-04-30;null;
2017-05-31;20,9;
2017-06-30;18,8;
2017-07-31;17,9;
2017-08-31;18,9;
2017-09-30;21,2;
2017-10-31;21,8;
2017-11-30;22,1;
2017-12-31;24,1;
2018-01-31;25,2;
2018-02-28;null;

