Nome: TEUTONIA
Codigo Estacao: A882
Latitude: -29.44916666
Longitude: -51.82333332
Altitude: 81
Situacao: Pane
Data Inicial: 2012-10-03
Data Final: 2025-07-31
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2012-10-31;20,7;
2012-11-30;22,6;
2012-12-31;25,3;
2013-01-31;23,7;
2013-02-28;23,9;
2013-03-31;21,1;
2013-04-30;19,6;
2013-05-31;16,2;
2013-06-30;14,8;
2013-07-31;14,1;
2013-08-31;13,9;
2013-09-30;17,5;
2013-10-31;19,6;
2013-11-30;22,9;
2013-12-31;24,7;
2014-01-31;26,1;
2014-02-28;25,7;
2014-03-31;22,6;
2014-04-30;20,4;
2014-05-31;16,4;
2014-06-30;15,5;
2014-07-31;15,4;
2014-08-31;16,7;
2014-09-30;19;
2014-10-31;21,2;
2014-11-30;23;
2014-12-31;24,1;
2015-01-31;24,9;
2015-02-28;24,1;
2015-03-31;23,4;
2015-04-30;20,3;
2015-05-31;17,8;
2015-06-30;15,7;
2015-07-31;15,5;
2015-08-31;20,5;
2015-09-30;17,8;
2015-10-31;19,1;
2015-11-30;21;
2015-12-31;23,9;
2016-01-31;null;
2016-02-29;25,5;
2016-03-31;22,1;
2016-04-30;22;
2016-05-31;14,7;
2016-06-30;12,4;
2016-07-31;14,4;
2016-08-31;16,4;
2016-09-30;16,4;
2016-10-31;19,4;
2016-11-30;20,9;
2016-12-31;24,2;
2017-01-31;24,8;
2017-02-28;25,5;
2017-03-31;22,5;
2017-04-30;19,7;
2017-05-31;17,9;
2017-06-30;16,1;
2017-07-31;16,2;
2017-08-31;17,3;
2017-09-30;20,9;
2017-10-31;20,3;
2017-11-30;20,4;
2017-12-31;24;
2018-01-31;24,4;
2018-02-28;23,4;
2018-03-31;22,6;
2018-04-30;22,6;
2018-05-31;17,6;
2018-06-30;13,3;
2018-07-31;14,3;
2018-08-31;13,9;
2018-09-30;19,1;
2018-10-31;20,1;
2018-11-30;22,7;
2018-12-31;23,7;
2019-01-31;26,2;
2019-02-28;null;
2019-03-31;null;
2019-04-30;21,1;
2019-05-31;18,8;
2019-06-30;18,3;
2019-07-31;13,6;
2019-08-31;15,5;
2019-09-30;16,8;
2019-10-31;20,5;
2019-11-30;22,2;
2019-12-31;24,9;
2020-01-31;24,9;
2020-02-29;24,5;
2020-03-31;24,5;
2020-04-30;20;
2020-05-31;16,6;
2020-06-30;16,8;
2020-07-31;13,4;
2020-08-31;16,2;
2020-09-30;17,1;
2020-10-31;20;
2020-11-30;21,7;
2020-12-31;23,9;
2021-01-31;25,1;
2021-02-28;23,4;
2021-03-31;22,9;
2021-04-30;20,5;
2021-05-31;14,8;
2021-06-30;14;
2021-07-31;13,4;
2021-08-31;16,9;
2021-09-30;18,1;
2021-10-31;19,5;
2021-11-30;null;
2021-12-31;24,2;
2022-01-31;26,8;
2022-02-28;24,8;
2022-03-31;22,3;
2022-04-30;19,2;
2022-05-31;15,1;
2022-06-30;13;
2022-07-31;17;
2022-08-31;14,8;
2022-09-30;16,2;
2022-10-31;18,7;
2022-11-30;20,8;
2022-12-31;24,1;
2023-01-31;25,9;
2023-02-28;24,5;
2023-03-31;25;
2023-04-30;19,7;
2023-05-31;17,5;
2023-06-30;16,6;
2023-07-31;15,7;
2023-08-31;17,6;
2023-09-30;18,9;
2023-10-31;19,1;
2023-11-30;21,7;
2023-12-31;24,6;
2024-01-31;23,9;
2024-02-29;25,8;
2024-03-31;23,9;
2024-04-30;21,5;
2024-05-31;16,9;
2024-06-30;18,3;
2024-07-31;null;
2024-08-31;15,6;
2024-09-30;19,2;
2024-10-31;20,7;
2024-11-30;23,4;
2024-12-31;22,3;
2025-01-31;25,3;
2025-02-28;26,3;
2025-03-31;24,4;
2025-04-30;null;
2025-05-31;null;
2025-06-30;null;
2025-07-31;null;

