Nome: CAMBARA DO SUL
Codigo Estacao: A897
Latitude: -29.04916666
Longitude: -50.14972221
Altitude: 1017
Situacao: Operante
Data Inicial: 2016-11-23
Data Final: 2025-07-31
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2016-11-30;null;
2016-12-31;18,5;
2017-01-31;19,7;
2017-02-28;20,5;
2017-03-31;17,5;
2017-04-30;14,9;
2017-05-31;13,8;
2017-06-30;11,9;
2017-07-31;12,1;
2017-08-31;13,2;
2017-09-30;16,6;
2017-10-31;15,2;
2017-11-30;15,3;
2017-12-31;18,3;
2018-01-31;18,5;
2018-02-28;17,7;
2018-03-31;18,1;
2018-04-30;17,2;
2018-05-31;13,2;
2018-06-30;10,6;
2018-07-31;12,1;
2018-08-31;10,4;
2018-09-30;14,4;
2018-10-31;14,6;
2018-11-30;17,1;
2018-12-31;18,5;
2019-01-31;21,1;
2019-02-28;18,3;
2019-03-31;17,3;
2019-04-30;16,8;
2019-05-31;null;
2019-06-30;14,1;
2019-07-31;10,9;
2019-08-31;11,3;
2019-09-30;13,7;
2019-10-31;16,3;
2019-11-30;16,8;
2019-12-31;18,6;
2020-01-31;18,9;
2020-02-29;18,1;
2020-03-31;18,4;
2020-04-30;14,6;
2020-05-31;12,8;
2020-06-30;12,2;
2020-07-31;null;
2020-08-31;12,9;
2020-09-30;14,1;
2020-10-31;15,5;
2020-11-30;15,7;
2020-12-31;17,9;
2021-01-31;18,9;
2021-02-28;18,2;
2021-03-31;17,9;
2021-04-30;15,2;
2021-05-31;11,4;
2021-06-30;10,2;
2021-07-31;10,3;
2021-08-31;12,9;
2021-09-30;14,4;
2021-10-31;14,2;
2021-11-30;16,4;
2021-12-31;17,3;
2022-01-31;19,9;
2022-02-28;19,4;
2022-03-31;17,4;
2022-04-30;14,9;
2022-05-31;10,9;
2022-06-30;9,8;
2022-07-31;14,2;
2022-08-31;10,9;
2022-09-30;11,2;
2022-10-31;14,1;
2022-11-30;14,7;
2022-12-31;18,1;
2023-01-31;19,5;
2023-02-28;18,4;
2023-03-31;19,4;
2023-04-30;14,8;
2023-05-31;13,9;
2023-06-30;12,2;
2023-07-31;11,7;
2023-08-31;13,1;
2023-09-30;15,2;
2023-10-31;14,4;
2023-11-30;17;
2023-12-31;19,4;
2024-01-31;18,6;
2024-02-29;20,3;
2024-03-31;19,3;
2024-04-30;17,4;
2024-05-31;13,5;
2024-06-30;13,7;
2024-07-31;10,8;
2024-08-31;13,1;
2024-09-30;16,2;
2024-10-31;15,6;
2024-11-30;17,5;
2024-12-31;16,9;
2025-01-31;18,9;
2025-02-28;21,1;
2025-03-31;19,4;
2025-04-30;15;
2025-05-31;13,7;
2025-06-30;10;
2025-07-31;10,1;

