Nome: CAMPOS NOVOS
Codigo Estacao: A898
Latitude: -27.3886111
Longitude: -51.21583333
Altitude: 963
Situacao: Operante
Data Inicial: 2019-02-14
Data Final: 2025-07-31
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2019-02-28;null;
2019-03-31;19;
2019-04-30;18,4;
2019-05-31;16;
2019-06-30;15,5;
2019-07-31;12,5;
2019-08-31;13,1;
2019-09-30;16,9;
2019-10-31;18,9;
2019-11-30;19,4;
2019-12-31;20,4;
2020-01-31;20,6;
2020-02-29;19,9;
2020-03-31;20,2;
2020-04-30;16,1;
2020-05-31;13,5;
2020-06-30;14,2;
2020-07-31;12,6;
2020-08-31;14,2;
2020-09-30;17,6;
2020-10-31;19,1;
2020-11-30;18,7;
2020-12-31;20,5;
2021-01-31;20,3;
2021-02-28;19,7;
2021-03-31;20,7;
2021-04-30;16,8;
2021-05-31;13,8;
2021-06-30;11,8;
2021-07-31;10,8;
2021-08-31;15,3;
2021-09-30;16,7;
2021-10-31;16,5;
2021-11-30;19,6;
2021-12-31;20,7;
2022-01-31;21,5;
2022-02-28;21,1;
2022-03-31;19,2;
2022-04-30;16,5;
2022-05-31;12,4;
2022-06-30;11,5;
2022-07-31;15,3;
2022-08-31;12,4;
2022-09-30;12,7;
2022-10-31;16,2;
2022-11-30;16,9;
2022-12-31;20,5;
2023-01-31;20,8;
2023-02-28;19,7;
2023-03-31;20,2;
2023-04-30;16,5;
2023-05-31;15;
2023-06-30;13,4;
2023-07-31;13,4;
2023-08-31;14,6;
2023-09-30;18;
2023-10-31;17,3;
2023-11-30;19,1;
2023-12-31;21,5;
2024-01-31;20,5;
2024-02-29;21,9;
2024-03-31;20,8;
2024-04-30;19,7;
2024-05-31;15,3;
2024-06-30;15,7;
2024-07-31;13;
2024-08-31;14,8;
2024-09-30;18,5;
2024-10-31;18,3;
2024-11-30;19,6;
2024-12-31;19,5;
2025-01-31;21,2;
2025-02-28;22,4;
2025-03-31;21,2;
2025-04-30;16,9;
2025-05-31;15,1;
2025-06-30;11,9;
2025-07-31;11,4;

