Nome: CACERES
Codigo Estacao: A941
Latitude: -16.07472221
Longitude: -57.69305555
Altitude: 123.53
Situacao: Fechada
Data Inicial: 2012-03-29
Data Final: 2021-01-07
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2012-03-31;null;
2012-04-30;26,7;
2012-05-31;24,6;
2012-06-30;23,6;
2012-07-31;22,8;
2012-08-31;26,1;
2012-09-30;28,1;
2012-10-31;29,2;
2012-11-30;null;
2012-12-31;27,2;
2013-01-31;27,2;
2013-02-28;26,7;
2013-03-31;27,2;
2013-04-30;25,3;
2013-05-31;24,6;
2013-06-30;24,9;
2013-07-31;22,9;
2013-08-31;23,6;
2013-09-30;27,1;
2013-10-31;27,3;
2013-11-30;27,3;
2013-12-31;27,1;
2014-01-31;26,6;
2014-02-28;25,5;
2014-03-31;26,6;
2014-04-30;26,2;
2014-05-31;24;
2014-06-30;24;
2014-07-31;22,3;
2014-08-31;25,2;
2014-09-30;28,5;
2014-10-31;28,4;
2014-11-30;27,2;
2014-12-31;26,7;
2015-01-31;27;
2015-02-28;null;
2015-03-31;null;
2015-04-30;null;
2015-05-31;25,5;
2015-06-30;null;
2015-07-31;null;
2015-08-31;null;
2015-09-30;null;
2015-10-31;null;
2015-11-30;28,2;
2015-12-31;27,7;
2016-01-31;27,1;
2016-02-29;27,5;
2016-03-31;27,2;
2016-04-30;26,6;
2016-05-31;24,3;
2016-06-30;21,9;
2016-07-31;23,9;
2016-08-31;25,5;
2016-09-30;25,1;
2016-10-31;27,7;
2016-11-30;26,8;
2016-12-31;26,4;
2017-01-31;27;
2017-02-28;26,6;
2017-03-31;26,9;
2017-04-30;26;
2017-05-31;26,1;
2017-06-30;23;
2017-07-31;22,6;
2017-08-31;26,2;
2017-09-30;28,1;
2017-10-31;28,3;
2017-11-30;27,6;
2017-12-31;27;
2018-01-31;26,7;
2018-02-28;26,6;
2018-03-31;27;
2018-04-30;26,5;
2018-05-31;24,7;
2018-06-30;21,9;
2018-07-31;22,7;
2018-08-31;23,7;
2018-09-30;27,4;
2018-10-31;27,9;
2018-11-30;27;
2018-12-31;27,5;
2019-01-31;null;
2019-02-28;null;
2019-03-31;null;
2019-04-30;null;
2019-05-31;null;
2019-06-30;null;
2019-07-31;null;
2019-08-31;25,3;
2019-09-30;29,4;
2019-10-31;28,2;
2019-11-30;27,6;
2019-12-31;27,2;
2020-01-31;28,6;
2020-02-29;26,7;
2020-03-31;27,6;
2020-04-30;26,5;
2020-05-31;23,2;
2020-06-30;24,3;
2020-07-31;24;
2020-08-31;26,1;
2020-09-30;29;
2020-10-31;30,2;
2020-11-30;29,2;
2020-12-31;28;
2021-01-31;null;

