Nome: PORTO ALEGRE- BELEM NOVO
Codigo Estacao: B807
Latitude: -30.1861111
Longitude: -51.17805554
Altitude: 3.3
Situacao: Operante
Data Inicial: 2022-12-07
Data Final: 2025-07-31
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2022-12-31;23;
2023-01-31;25,5;
2023-02-28;24,1;
2023-03-31;25;
2023-04-30;20;
2023-05-31;17,6;
2023-06-30;15,7;
2023-07-31;15;
2023-08-31;15,9;
2023-09-30;18;
2023-10-31;18,6;
2023-11-30;21;
2023-12-31;24;
2024-01-31;24;
2024-02-29;25,5;
2024-03-31;24;
2024-04-30;21,5;
2024-05-31;16,7;
2024-06-30;17;
2024-07-31;13,3;
2024-08-31;15;
2024-09-30;18,3;
2024-10-31;20,2;
2024-11-30;22,7;
2024-12-31;22,1;
2025-01-31;24,5;
2025-02-28;26;
2025-03-31;24,6;
2025-04-30;19,7;
2025-05-31;18,1;
2025-06-30;null;
2025-07-31;12,5;

