Nome: ACARAU
Codigo Estacao: 82294
Latitude: -2.885772
Longitude: -40.114075
Altitude: 21.52
Situacao: Desativada
Data Inicial: 2004-01-01
Data Final: 2011-03-17
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);
2004-01-31;27,2;
2004-02-29;26,7;
2004-03-31;27,1;
2004-04-30;27,3;
2004-05-31;27,5;
2004-06-30;26,3;
2004-07-31;null;
2004-08-31;27,3;
2004-09-30;27,9;
2004-10-31;28;
2004-11-30;28,1;
2004-12-31;27,9;
2005-01-31;28,2;
2005-02-28;28,4;
2005-03-31;28;
2005-04-30;27,4;
2005-05-31;27,2;
2005-06-30;26,8;
2005-07-31;27,1;
2005-08-31;null;
2005-09-30;27,7;
2005-10-31;28;
2005-11-30;28,4;
2005-12-31;28,6;
2006-01-31;28,4;
2006-02-28;27,7;
2006-03-31;27;
2006-04-30;26,7;
2006-05-31;26,7;
2006-06-30;26,4;
2006-07-31;null;
2006-08-31;27,3;
2006-09-30;28;
2006-10-31;28,1;
2006-11-30;28,3;
2006-12-31;28,2;
2007-01-31;28,5;
2007-02-28;26,9;
2007-03-31;26,8;
2007-04-30;27,1;
2007-05-31;27,3;
2007-06-30;27,1;
2007-07-31;null;
2007-08-31;27,7;
2007-09-30;27,9;
2007-10-31;28;
2007-11-30;28,3;
2007-12-31;28,1;
2008-01-31;27;
2008-02-29;27,3;
2008-03-31;26,2;
2008-04-30;26,4;
2008-05-31;26,8;
2008-06-30;26,7;
2008-07-31;27,2;
2008-08-31;null;
2008-09-30;27,8;
2008-10-31;28,4;
2008-11-30;28,1;
2008-12-31;28,3;
2009-01-31;27,6;
2009-02-28;26,6;
2009-03-31;26,2;
2009-04-30;26,2;
2009-05-31;26,4;
2009-06-30;26,6;
2009-07-31;null;
2009-08-31;26,9;
2009-09-30;27,4;
2009-10-31;27,3;
2009-11-30;27,8;
2009-12-31;28,1;
2010-01-31;27,8;
2010-02-28;28,7;
2010-03-31;28,4;
2010-04-30;28;
2010-05-31;28,1;
2010-06-30;27,6;
2010-07-31;27,6;
2010-08-31;null;
2010-09-30;28,2;
2010-10-31;null;
2010-11-30;null;
2010-12-31;null;
2011-01-31;26,6;
2011-02-28;26,9;
2011-03-31;26,4;

