Nome: MOSSORO
Codigo Estacao: 82591
Latitude: -5.213412
Longitude: -37.312164
Altitude: 37.99
Situacao: Desativada
Data Inicial: 2004-01-01
Data Final: 2008-10-01
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);
2004-01-31;27,7;
2004-02-29;26,8;
2004-03-31;27,4;
2004-04-30;27,9;
2004-05-31;27,4;
2004-06-30;26,2;
2004-07-31;26,2;
2004-08-31;27,5;
2004-09-30;28,5;
2004-10-31;28,6;
2004-11-30;28,6;
2004-12-31;28,8;
2005-01-31;29;
2005-02-28;29,4;
2005-03-31;28,7;
2005-04-30;27,9;
2005-05-31;27,5;
2005-06-30;26,3;
2005-07-31;27,6;
2005-08-31;27,9;
2005-09-30;28,2;
2005-10-31;28,8;
2005-11-30;29,2;
2005-12-31;29,3;
2006-01-31;29,7;
2006-02-28;28,6;
2006-03-31;27,8;
2006-04-30;27,2;
2006-05-31;26,8;
2006-06-30;26,3;
2006-07-31;26,7;
2006-08-31;27,4;
2006-09-30;28,3;
2006-10-31;28,8;
2006-11-30;28,7;
2006-12-31;28,9;
2007-01-31;29,2;
2007-02-28;28;
2007-03-31;27;
2007-04-30;27,4;
2007-05-31;27;
2007-06-30;26,6;
2007-07-31;27,5;
2007-08-31;27,7;
2007-09-30;28,5;
2007-10-31;28,7;
2007-11-30;28,8;
2007-12-31;28,8;
2008-01-31;28,6;
2008-02-29;29;
2008-03-31;27,2;
2008-04-30;26,5;
2008-05-31;26,3;
2008-06-30;25,8;
2008-07-31;26,6;
2008-08-31;27,8;
2008-09-30;null;
2008-10-31;null;

