Nome: CAMARATUBA
Codigo Estacao: 82695
Latitude: -6.561813
Longitude: -35.135316
Altitude: 135.51
Situacao: Desativada
Data Inicial: 2004-01-01
Data Final: 2008-08-29
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);
2004-01-31;25,7;
2004-02-29;25,4;
2004-03-31;25,8;
2004-04-30;25,9;
2004-05-31;25,3;
2004-06-30;25,2;
2004-07-31;25,3;
2004-08-31;25,5;
2004-09-30;26,3;
2004-10-31;26,6;
2004-11-30;27,3;
2004-12-31;27,6;
2005-01-31;27,1;
2005-02-28;27;
2005-03-31;26,7;
2005-04-30;26,4;
2005-05-31;25,9;
2005-06-30;25,1;
2005-07-31;25,7;
2005-08-31;25,7;
2005-09-30;26,1;
2005-10-31;26,7;
2005-11-30;27,2;
2005-12-31;28,1;
2006-01-31;27,1;
2006-02-28;26,4;
2006-03-31;26,3;
2006-04-30;26,2;
2006-05-31;25,8;
2006-06-30;25,8;
2006-07-31;25,9;
2006-08-31;25,8;
2006-09-30;26,9;
2006-10-31;27,5;
2006-11-30;27,2;
2006-12-31;27,8;
2007-01-31;26,8;
2007-02-28;26,9;
2007-03-31;26,8;
2007-04-30;26,7;
2007-05-31;26,8;
2007-06-30;26;
2007-07-31;25,7;
2007-08-31;26;
2007-09-30;26,5;
2007-10-31;27;
2007-11-30;27,4;
2007-12-31;27,6;
2008-01-31;27,2;
2008-02-29;27,3;
2008-03-31;26,6;
2008-04-30;25,8;
2008-05-31;26,3;
2008-06-30;25,8;
2008-07-31;25,6;
2008-08-31;26,4;

