Nome: PORTO VELHO
Codigo Estacao: 82825
Latitude: -8.7931
Longitude: -63.8467
Altitude: 86.12
Situacao: Desativada
Data Inicial: 2004-01-01
Data Final: 2008-02-19
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);
2004-01-31;26,9;
2004-02-29;26;
2004-03-31;25,9;
2004-04-30;26,2;
2004-05-31;24,8;
2004-06-30;25,3;
2004-07-31;25,5;
2004-08-31;26,3;
2004-09-30;26,1;
2004-10-31;26,7;
2004-11-30;26,8;
2004-12-31;26,4;
2005-01-31;26,9;
2005-02-28;26,1;
2005-03-31;26;
2005-04-30;25,9;
2005-05-31;null;
2005-06-30;null;
2005-07-31;24,8;
2005-08-31;26;
2005-09-30;26,1;
2005-10-31;27,1;
2005-11-30;27,4;
2005-12-31;26;
2006-01-31;26,2;
2006-02-28;26;
2006-03-31;26,1;
2006-04-30;25,7;
2006-05-31;24,5;
2006-06-30;25,6;
2006-07-31;null;
2006-08-31;27,2;
2006-09-30;26,7;
2006-10-31;27,2;
2006-11-30;26,6;
2006-12-31;25,9;
2007-01-31;26,5;
2007-02-28;26,2;
2007-03-31;26,1;
2007-04-30;26,2;
2007-05-31;24,9;
2007-06-30;24,9;
2007-07-31;25;
2007-08-31;26,1;
2007-09-30;27,2;
2007-10-31;26,5;
2007-11-30;26,3;
2007-12-31;26,1;
2008-01-31;25,8;
2008-02-29;25,6;

