Nome: CORONEL PACHECO
Codigo Estacao: 83037
Latitude: -21.54666666
Longitude: -43.26111111
Altitude: 411.03
Situacao: Desativada
Data Inicial: 2004-01-01
Data Final: 2009-04-30
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);
2004-01-31;23,4;
2004-02-29;23;
2004-03-31;22,7;
2004-04-30;22,2;
2004-05-31;19,3;
2004-06-30;17,1;
2004-07-31;16,7;
2004-08-31;17,9;
2004-09-30;21,2;
2004-10-31;21,4;
2004-11-30;22,2;
2004-12-31;23,1;
2005-01-31;23,9;
2005-02-28;23,3;
2005-03-31;23,9;
2005-04-30;23,3;
2005-05-31;20,1;
2005-06-30;18,3;
2005-07-31;17,4;
2005-08-31;18,9;
2005-09-30;20,3;
2005-10-31;22,7;
2005-11-30;21,7;
2005-12-31;22,4;
2006-01-31;24,3;
2006-02-28;24,3;
2006-03-31;23,6;
2006-04-30;21,5;
2006-05-31;17,9;
2006-06-30;16,5;
2006-07-31;15,6;
2006-08-31;17,8;
2006-09-30;18,7;
2006-10-31;21,8;
2006-11-30;22,4;
2006-12-31;23,8;
2007-01-31;23,8;
2007-02-28;23,5;
2007-03-31;23,6;
2007-04-30;null;
2007-05-31;17,3;
2007-06-30;16,3;
2007-07-31;16,3;
2007-08-31;17,4;
2007-09-30;20,1;
2007-10-31;22,5;
2007-11-30;22,6;
2007-12-31;23,9;
2008-01-31;23;
2008-02-29;23,9;
2008-03-31;23,4;
2008-04-30;22,6;
2008-05-31;19,1;
2008-06-30;null;
2008-07-31;null;
2008-08-31;null;
2008-09-30;19,2;
2008-10-31;22,6;
2008-11-30;null;
2008-12-31;null;
2009-01-31;24,5;
2009-02-28;24,9;
2009-03-31;24,7;
2009-04-30;22;

