Nome: VENDA NOVA
Codigo Estacao: 83045
Latitude: -20.38532
Longitude: -41.189474
Altitude: 720.46
Situacao: Desativada
Data Inicial: 2004-01-01
Data Final: 2006-03-30
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);
2004-01-31;21,8;
2004-02-29;22;
2004-03-31;21;
2004-04-30;20,2;
2004-05-31;19;
2004-06-30;17,1;
2004-07-31;16,1;
2004-08-31;16,7;
2004-09-30;19;
2004-10-31;19,9;
2004-11-30;20,5;
2004-12-31;21,6;
2005-01-31;21,9;
2005-02-28;21,5;
2005-03-31;21,7;
2005-04-30;19,9;
2005-05-31;18,3;
2005-06-30;17,1;
2005-07-31;16,4;
2005-08-31;17,7;
2005-09-30;17,3;
2005-10-31;20,8;
2005-11-30;19,1;
2005-12-31;20,2;
2006-01-31;22,1;
2006-02-28;23,2;
2006-03-31;21,6;

