Nome: SANTA MONICA (VALENCA)
Codigo Estacao: 83052
Latitude: -22.361064
Longitude: -43.698029
Altitude: 368.17
Situacao: Desativada
Data Inicial: 2004-01-01
Data Final: 2007-12-09
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);
2004-01-31;23,3;
2004-02-29;23,6;
2004-03-31;22,5;
2004-04-30;22,3;
2004-05-31;19,5;
2004-06-30;18;
2004-07-31;17,6;
2004-08-31;18,8;
2004-09-30;22,6;
2004-10-31;21,1;
2004-11-30;22,6;
2004-12-31;23,1;
2005-01-31;24;
2005-02-28;23,6;
2005-03-31;24,5;
2005-04-30;23,7;
2005-05-31;20,9;
2005-06-30;19,5;
2005-07-31;18;
2005-08-31;20,8;
2005-09-30;20,5;
2005-10-31;24,1;
2005-11-30;22,9;
2005-12-31;23,2;
2006-01-31;26;
2006-02-28;26,1;
2006-03-31;25,2;
2006-04-30;23,1;
2006-05-31;19,2;
2006-06-30;18,5;
2006-07-31;19;
2006-08-31;20,9;
2006-09-30;20,3;
2006-10-31;22;
2006-11-30;null;
2006-12-31;null;
2007-01-31;null;
2007-02-28;null;
2007-03-31;null;
2007-04-30;null;
2007-05-31;null;
2007-06-30;null;
2007-07-31;null;
2007-08-31;null;
2007-09-30;null;
2007-10-31;null;
2007-11-30;null;
2007-12-31;null;

