Nome: SENHOR DO BONFIM
Codigo Estacao: 83088
Latitude: -10.44305555
Longitude: -40.14833333
Altitude: 532.09
Situacao: Desativada
Data Inicial: 2004-01-01
Data Final: 2011-07-31
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);
2004-01-31;24,9;
2004-02-29;24,9;
2004-03-31;25;
2004-04-30;25,1;
2004-05-31;23,2;
2004-06-30;22,2;
2004-07-31;21,3;
2004-08-31;21,8;
2004-09-30;23,3;
2004-10-31;25,8;
2004-11-30;26,2;
2004-12-31;null;
2005-01-31;27,1;
2005-02-28;26,1;
2005-03-31;26,1;
2005-04-30;24,3;
2005-05-31;22,7;
2005-06-30;21,4;
2005-07-31;20,5;
2005-08-31;21,7;
2005-09-30;24;
2005-10-31;25,8;
2005-11-30;26;
2005-12-31;25,3;
2006-01-31;26,5;
2006-02-28;27,5;
2006-03-31;26;
2006-04-30;24,3;
2006-05-31;22,6;
2006-06-30;20,7;
2006-07-31;20;
2006-08-31;21,5;
2006-09-30;22,7;
2006-10-31;24,2;
2006-11-30;24,9;
2006-12-31;26,4;
2007-01-31;27,7;
2007-02-28;25,1;
2007-03-31;24,2;
2007-04-30;24,5;
2007-05-31;22,6;
2007-06-30;21,6;
2007-07-31;21,2;
2007-08-31;21,6;
2007-09-30;22,8;
2007-10-31;24,8;
2007-11-30;26,2;
2007-12-31;26,2;
2008-01-31;26,8;
2008-02-29;26,1;
2008-03-31;25,7;
2008-04-30;24,8;
2008-05-31;22,9;
2008-06-30;21,5;
2008-07-31;20,4;
2008-08-31;21,9;
2008-09-30;23,6;
2008-10-31;25,4;
2008-11-30;27,2;
2008-12-31;24,9;
2009-01-31;25,8;
2009-02-28;25,6;
2009-03-31;27,2;
2009-04-30;24,7;
2009-05-31;22,4;
2009-06-30;21,5;
2009-07-31;21,7;
2009-08-31;22;
2009-09-30;25;
2009-10-31;25,4;
2009-11-30;25,5;
2009-12-31;null;
2010-01-31;25,5;
2010-02-28;26,7;
2010-03-31;26;
2010-04-30;24;
2010-05-31;24,4;
2010-06-30;21,9;
2010-07-31;20,4;
2010-08-31;20,3;
2010-09-30;22,1;
2010-10-31;25,5;
2010-11-30;26,1;
2010-12-31;null;
2011-01-31;25,2;
2011-02-28;25,9;
2011-03-31;25,7;
2011-04-30;24,3;
2011-05-31;22,3;
2011-06-30;21,5;
2011-07-31;21,5;

