Nome: CAMACARI
Codigo Estacao: 83226
Latitude: -12.691233
Longitude: -38.337536
Altitude: 41.17
Situacao: Desativada
Data Inicial: 2004-01-01
Data Final: 2006-07-24
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);
2004-01-31;26,1;
2004-02-29;26,5;
2004-03-31;26,4;
2004-04-30;25,6;
2004-05-31;24,5;
2004-06-30;23,2;
2004-07-31;22,5;
2004-08-31;22,4;
2004-09-30;23,1;
2004-10-31;24,8;
2004-11-30;25,8;
2004-12-31;26,5;
2005-01-31;27,2;
2005-02-28;26,7;
2005-03-31;26,7;
2005-04-30;25,3;
2005-05-31;25,2;
2005-06-30;23,7;
2005-07-31;22,7;
2005-08-31;22,8;
2005-09-30;24,1;
2005-10-31;25,2;
2005-11-30;25,9;
2005-12-31;26,1;
2006-01-31;26,3;
2006-02-28;null;
2006-03-31;null;
2006-04-30;null;
2006-05-31;null;
2006-06-30;null;
2006-07-31;null;

