Nome: GOIANESIA
Codigo Estacao: 83350
Latitude: -15.215
Longitude: -48.98527777
Altitude: 657.79
Situacao: Desativada
Data Inicial: 2004-01-01
Data Final: 2008-08-19
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);
2004-01-31;23,6;
2004-02-29;23,4;
2004-03-31;24,1;
2004-04-30;23,8;
2004-05-31;23,6;
2004-06-30;21,6;
2004-07-31;21,6;
2004-08-31;23,9;
2004-09-30;27,1;
2004-10-31;26,5;
2004-11-30;25;
2004-12-31;24,5;
2005-01-31;24,1;
2005-02-28;25,2;
2005-03-31;24,2;
2005-04-30;24,7;
2005-05-31;22,9;
2005-06-30;22,1;
2005-07-31;22,2;
2005-08-31;24,3;
2005-09-30;26,6;
2005-10-31;27,6;
2005-11-30;24,4;
2005-12-31;23,3;
2006-01-31;24,6;
2006-02-28;24,5;
2006-03-31;23,9;
2006-04-30;23,9;
2006-05-31;22,1;
2006-06-30;21,4;
2006-07-31;21,9;
2006-08-31;25;
2006-09-30;25,4;
2006-10-31;24,3;
2006-11-30;24,3;
2006-12-31;24,2;
2007-01-31;24,5;
2007-02-28;23,8;
2007-03-31;24,8;
2007-04-30;24,6;
2007-05-31;23,7;
2007-06-30;22,6;
2007-07-31;23,4;
2007-08-31;23,5;
2007-09-30;26,8;
2007-10-31;26,6;
2007-11-30;25;
2007-12-31;24,2;
2008-01-31;23,7;
2008-02-29;23,7;
2008-03-31;23,6;
2008-04-30;23,9;
2008-05-31;22,8;
2008-06-30;22;
2008-07-31;21,5;
2008-08-31;23,8;

