Nome: SERRA DOS AIMORES
Codigo Estacao: 83500
Latitude: -17.798812
Longitude: -40.249925
Altitude: 211.92
Situacao: Desativada
Data Inicial: 2004-01-01
Data Final: 2006-08-20
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);
2004-01-31;24,2;
2004-02-29;25,7;
2004-03-31;null;
2004-04-30;null;
2004-05-31;null;
2004-06-30;null;
2004-07-31;null;
2004-08-31;null;
2004-09-30;null;
2004-10-31;24,1;
2004-11-30;null;
2004-12-31;null;
2005-01-31;26,1;
2005-02-28;null;
2005-03-31;null;
2005-04-30;null;
2005-05-31;null;
2005-06-30;22,1;
2005-07-31;null;
2005-08-31;null;
2005-09-30;null;
2005-10-31;25,8;
2005-11-30;23,7;
2005-12-31;null;
2006-01-31;null;
2006-02-28;27,1;
2006-03-31;null;
2006-04-30;null;
2006-05-31;null;
2006-06-30;null;
2006-07-31;null;
2006-08-31;null;

