Nome: ITUMBIARA
Codigo Estacao: 83523
Latitude: -18.40972222
Longitude: -49.19194444
Altitude: 491.55
Situacao: Desativada
Data Inicial: 2004-01-01
Data Final: 2012-05-31
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);
2004-01-31;25,5;
2004-02-29;24,6;
2004-03-31;24,6;
2004-04-30;24;
2004-05-31;21,7;
2004-06-30;20,2;
2004-07-31;20,4;
2004-08-31;22,1;
2004-09-30;26,8;
2004-10-31;25,6;
2004-11-30;25,9;
2004-12-31;25,3;
2005-01-31;25,2;
2005-02-28;25,5;
2005-03-31;25,3;
2005-04-30;25,1;
2005-05-31;22,4;
2005-06-30;21,4;
2005-07-31;21;
2005-08-31;23,2;
2005-09-30;25,5;
2005-10-31;27,6;
2005-11-30;25,2;
2005-12-31;24,7;
2006-01-31;25,4;
2006-02-28;25;
2006-03-31;25,2;
2006-04-30;24,4;
2006-05-31;20,2;
2006-06-30;20,3;
2006-07-31;21,3;
2006-08-31;24,2;
2006-09-30;24,6;
2006-10-31;24,8;
2006-11-30;25,1;
2006-12-31;25,3;
2007-01-31;25,3;
2007-02-28;24,9;
2007-03-31;null;
2007-04-30;25,1;
2007-05-31;21,9;
2007-06-30;null;
2007-07-31;null;
2007-08-31;23,1;
2007-09-30;26,5;
2007-10-31;27,7;
2007-11-30;25,9;
2007-12-31;25,3;
2008-01-31;24,6;
2008-02-29;24,2;
2008-03-31;24,4;
2008-04-30;24;
2008-05-31;21;
2008-06-30;21,3;
2008-07-31;20;
2008-08-31;null;
2008-09-30;null;
2008-10-31;26,4;
2008-11-30;25,8;
2008-12-31;25,2;
2009-01-31;25,4;
2009-02-28;25,4;
2009-03-31;25,5;
2009-04-30;23,7;
2009-05-31;22,5;
2009-06-30;20,4;
2009-07-31;22,5;
2009-08-31;23,3;
2009-09-30;25;
2009-10-31;25,5;
2009-11-30;26,4;
2009-12-31;25,1;
2010-01-31;25,9;
2010-02-28;26,6;
2010-03-31;25,9;
2010-04-30;24,1;
2010-05-31;22;
2010-06-30;20,9;
2010-07-31;21,8;
2010-08-31;22,1;
2010-09-30;null;
2010-10-31;null;
2010-11-30;null;
2010-12-31;null;
2011-01-31;null;
2011-02-28;null;
2011-03-31;null;
2011-04-30;null;
2011-05-31;null;
2011-06-30;null;
2011-07-31;null;
2011-08-31;null;
2011-09-30;null;
2011-10-31;null;
2011-11-30;null;
2011-12-31;null;
2012-01-31;null;
2012-02-29;null;
2012-03-31;null;
2012-04-30;null;
2012-05-31;null;

