Nome: UBERLANDIA
Codigo Estacao: 83527
Latitude: -18.91694443
Longitude: -48.25555555
Altitude: 874.6
Situacao: Desativada
Data Inicial: 2004-01-01
Data Final: 2006-12-31
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);
2004-01-31;null;
2004-02-29;null;
2004-03-31;null;
2004-04-30;null;
2004-05-31;null;
2004-06-30;null;
2004-07-31;19,2;
2004-08-31;22;
2004-09-30;25,3;
2004-10-31;24,3;
2004-11-30;24;
2004-12-31;23,7;
2005-01-31;23,8;
2005-02-28;24,7;
2005-03-31;24;
2005-04-30;24,4;
2005-05-31;21,4;
2005-06-30;20,3;
2005-07-31;20;
2005-08-31;22,1;
2005-09-30;24;
2005-10-31;26,1;
2005-11-30;23,2;
2005-12-31;22,6;
2006-01-31;24,6;
2006-02-28;24,3;
2006-03-31;23,7;
2006-04-30;23;
2006-05-31;20,1;
2006-06-30;19,8;
2006-07-31;20,5;
2006-08-31;22,8;
2006-09-30;22,6;
2006-10-31;23;
2006-11-30;23,3;
2006-12-31;null;

