Nome: GOVERNADOR VALADARES
Codigo Estacao: 83543
Latitude: -18.842608
Longitude: -41.90357
Altitude: 156.54
Situacao: Desativada
Data Inicial: 2004-01-01
Data Final: 2007-08-26
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);
2004-01-31;25,9;
2004-02-29;26;
2004-03-31;25,3;
2004-04-30;24,4;
2004-05-31;23,1;
2004-06-30;21;
2004-07-31;20,4;
2004-08-31;21,7;
2004-09-30;24,4;
2004-10-31;26,3;
2004-11-30;26,7;
2004-12-31;26,1;
2005-01-31;26,9;
2005-02-28;null;
2005-03-31;null;
2005-04-30;null;
2005-05-31;null;
2005-06-30;null;
2005-07-31;null;
2005-08-31;null;
2005-09-30;null;
2005-10-31;null;
2005-11-30;null;
2005-12-31;25,1;
2006-01-31;26,9;
2006-02-28;28,7;
2006-03-31;26,7;
2006-04-30;25,1;
2006-05-31;22,2;
2006-06-30;21;
2006-07-31;20,3;
2006-08-31;23,3;
2006-09-30;23,8;
2006-10-31;25,8;
2006-11-30;25,1;
2006-12-31;26,2;
2007-01-31;27;
2007-02-28;26;
2007-03-31;26,7;
2007-04-30;25,5;
2007-05-31;22,6;
2007-06-30;21,2;
2007-07-31;21,6;
2007-08-31;21,9;

