Nome: FRUTAL
Codigo Estacao: 83574
Latitude: -20.034803
Longitude: -48.930435
Altitude: 547.09
Situacao: Desativada
Data Inicial: 2004-01-01
Data Final: 2013-09-08
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);
2004-01-31;25,7;
2004-02-29;25;
2004-03-31;25,3;
2004-04-30;24,7;
2004-05-31;20,9;
2004-06-30;20,3;
2004-07-31;20,1;
2004-08-31;22,9;
2004-09-30;27,6;
2004-10-31;24,8;
2004-11-30;25,7;
2004-12-31;25,3;
2005-01-31;25,4;
2005-02-28;26,5;
2005-03-31;25,9;
2005-04-30;26,3;
2005-05-31;23,1;
2005-06-30;22;
2005-07-31;20,7;
2005-08-31;23,6;
2005-09-30;24,2;
2005-10-31;27,3;
2005-11-30;25,7;
2005-12-31;24,7;
2006-01-31;26,3;
2006-02-28;25,7;
2006-03-31;25,5;
2006-04-30;24,6;
2006-05-31;20,7;
2006-06-30;21,1;
2006-07-31;22,5;
2006-08-31;24,4;
2006-09-30;23,9;
2006-10-31;25;
2006-11-30;25,4;
2006-12-31;25,8;
2007-01-31;25,4;
2007-02-28;26;
2007-03-31;26,7;
2007-04-30;25,9;
2007-05-31;22,2;
2007-06-30;22,3;
2007-07-31;21;
2007-08-31;23,6;
2007-09-30;26,9;
2007-10-31;27,8;
2007-11-30;25,6;
2007-12-31;26,3;
2008-01-31;null;
2008-02-29;24,8;
2008-03-31;24,8;
2008-04-30;24,3;
2008-05-31;21,3;
2008-06-30;22;
2008-07-31;21,9;
2008-08-31;24,6;
2008-09-30;24,7;
2008-10-31;26,5;
2008-11-30;25,7;
2008-12-31;25,6;
2009-01-31;null;
2009-02-28;26,2;
2009-03-31;25,6;
2009-04-30;null;
2009-05-31;null;
2009-06-30;null;
2009-07-31;null;
2009-08-31;22,4;
2009-09-30;25;
2009-10-31;25,4;
2009-11-30;27,4;
2009-12-31;25,2;
2010-01-31;25,5;
2010-02-28;26,7;
2010-03-31;26,5;
2010-04-30;24,3;
2010-05-31;21,8;
2010-06-30;21,2;
2010-07-31;23,2;
2010-08-31;23,3;
2010-09-30;25,9;
2010-10-31;24,9;
2010-11-30;26;
2010-12-31;26,8;
2011-01-31;null;
2011-02-28;null;
2011-03-31;null;
2011-04-30;null;
2011-05-31;null;
2011-06-30;null;
2011-07-31;null;
2011-08-31;null;
2011-09-30;null;
2011-10-31;null;
2011-11-30;null;
2011-12-31;null;
2012-01-31;null;
2012-02-29;null;
2012-03-31;26,1;
2012-04-30;25,2;
2012-05-31;21,5;
2012-06-30;22,1;
2012-07-31;21,4;
2012-08-31;23,1;
2012-09-30;25,9;
2012-10-31;28,2;
2012-11-30;26,4;
2012-12-31;27;
2013-01-31;25,4;
2013-02-28;null;
2013-03-31;null;
2013-04-30;null;
2013-05-31;null;
2013-06-30;null;
2013-07-31;null;
2013-08-31;null;
2013-09-30;null;

