Nome: CAMPO GRANDE
Codigo Estacao: 83611
Latitude: -20.44722221
Longitude: -54.72277777
Altitude: 528.43
Situacao: Desativada
Data Inicial: 2004-01-01
Data Final: 2009-09-17
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);
2004-01-31;26,1;
2004-02-29;25,1;
2004-03-31;25,2;
2004-04-30;24,4;
2004-05-31;18,6;
2004-06-30;19,6;
2004-07-31;19,3;
2004-08-31;21,9;
2004-09-30;25,3;
2004-10-31;23,9;
2004-11-30;24,7;
2004-12-31;25,1;
2005-01-31;24,8;
2005-02-28;25,9;
2005-03-31;25,3;
2005-04-30;24,4;
2005-05-31;22,2;
2005-06-30;21,6;
2005-07-31;18,7;
2005-08-31;22,3;
2005-09-30;20,8;
2005-10-31;24,6;
2005-11-30;24,7;
2005-12-31;25,2;
2006-01-31;25,4;
2006-02-28;24,8;
2006-03-31;25;
2006-04-30;23,8;
2006-05-31;18,8;
2006-06-30;21,4;
2006-07-31;null;
2006-08-31;null;
2006-09-30;null;
2006-10-31;null;
2006-11-30;null;
2006-12-31;null;
2007-01-31;null;
2007-02-28;null;
2007-03-31;null;
2007-04-30;null;
2007-05-31;null;
2007-06-30;null;
2007-07-31;null;
2007-08-31;null;
2007-09-30;null;
2007-10-31;null;
2007-11-30;null;
2007-12-31;null;
2008-01-31;null;
2008-02-29;null;
2008-03-31;null;
2008-04-30;null;
2008-05-31;null;
2008-06-30;null;
2008-07-31;null;
2008-08-31;null;
2008-09-30;null;
2008-10-31;null;
2008-11-30;null;
2008-12-31;null;
2009-01-31;null;
2009-02-28;null;
2009-03-31;null;
2009-04-30;null;
2009-05-31;null;
2009-06-30;null;
2009-07-31;null;
2009-08-31;null;
2009-09-30;null;

