Nome: SAO JOAO DEL REI
Codigo Estacao: 83688
Latitude: -21.3
Longitude: -44.26999999
Altitude: 991
Situacao: Desativada
Data Inicial: 2004-01-01
Data Final: 2006-05-31
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);
2004-01-31;null;
2004-02-29;null;
2004-03-31;null;
2004-04-30;null;
2004-05-31;null;
2004-06-30;null;
2004-07-31;null;
2004-08-31;null;
2004-09-30;null;
2004-10-31;null;
2004-11-30;null;
2004-12-31;null;
2005-01-31;null;
2005-02-28;null;
2005-03-31;null;
2005-04-30;21,3;
2005-05-31;17,9;
2005-06-30;16,6;
2005-07-31;15,7;
2005-08-31;17,9;
2005-09-30;19,6;
2005-10-31;22,2;
2005-11-30;20,4;
2005-12-31;20,8;
2006-01-31;23,1;
2006-02-28;22,9;
2006-03-31;22,1;
2006-04-30;20,1;
2006-05-31;16,5;

