Nome: ECOLOGIA AGRICOLA
Codigo Estacao: 83741
Latitude: -22.757848
Longitude: -43.685017
Altitude: 34.52
Situacao: Desativada
Data Inicial: 2004-01-01
Data Final: 2007-12-30
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);
2004-01-31;25,3;
2004-02-29;25,2;
2004-03-31;25;
2004-04-30;25;
2004-05-31;22,1;
2004-06-30;21,4;
2004-07-31;20,4;
2004-08-31;20,7;
2004-09-30;23,9;
2004-10-31;23,4;
2004-11-30;24,8;
2004-12-31;25,5;
2005-01-31;26,7;
2005-02-28;25,7;
2005-03-31;26,3;
2005-04-30;25,5;
2005-05-31;22,7;
2005-06-30;21,5;
2005-07-31;19,8;
2005-08-31;22,6;
2005-09-30;21,5;
2005-10-31;24,5;
2005-11-30;23,5;
2005-12-31;23,6;
2006-01-31;25,8;
2006-02-28;26,8;
2006-03-31;26,5;
2006-04-30;23,9;
2006-05-31;20,7;
2006-06-30;20,5;
2006-07-31;20,5;
2006-08-31;21,7;
2006-09-30;21,8;
2006-10-31;22,8;
2006-11-30;24;
2006-12-31;25,9;
2007-01-31;25,6;
2007-02-28;26,9;
2007-03-31;27,2;
2007-04-30;25,8;
2007-05-31;21,7;
2007-06-30;21,6;
2007-07-31;21;
2007-08-31;21,6;
2007-09-30;24;
2007-10-31;24,6;
2007-11-30;24,4;
2007-12-31;26,7;

