Nome: UBATUBA
Codigo Estacao: 83786
Latitude: -23.416697
Longitude: -45.114373
Altitude: 19.55
Situacao: Desativada
Data Inicial: 2004-01-01
Data Final: 2009-03-05
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);
2004-01-31;24;
2004-02-29;24,2;
2004-03-31;23,5;
2004-04-30;23,6;
2004-05-31;20;
2004-06-30;18,5;
2004-07-31;17,7;
2004-08-31;18,4;
2004-09-30;21,3;
2004-10-31;21,2;
2004-11-30;22,7;
2004-12-31;23,7;
2005-01-31;25;
2005-02-28;24,4;
2005-03-31;24,8;
2005-04-30;24,2;
2005-05-31;21,2;
2005-06-30;20,1;
2005-07-31;18,6;
2005-08-31;20,3;
2005-09-30;20,2;
2005-10-31;22,7;
2005-11-30;22,8;
2005-12-31;23,4;
2006-01-31;25,5;
2006-02-28;25,9;
2006-03-31;25,5;
2006-04-30;22,7;
2006-05-31;19,4;
2006-06-30;18,8;
2006-07-31;18,4;
2006-08-31;19,4;
2006-09-30;20,1;
2006-10-31;21,6;
2006-11-30;23;
2006-12-31;24,9;
2007-01-31;25,1;
2007-02-28;25,8;
2007-03-31;26;
2007-04-30;24,1;
2007-05-31;19,5;
2007-06-30;19,1;
2007-07-31;17,7;
2007-08-31;18,5;
2007-09-30;20,8;
2007-10-31;22;
2007-11-30;22,7;
2007-12-31;24,7;
2008-01-31;24,3;
2008-02-29;24,6;
2008-03-31;24,3;
2008-04-30;23;
2008-05-31;19,5;
2008-06-30;19;
2008-07-31;18,1;
2008-08-31;20,1;
2008-09-30;19,6;
2008-10-31;22;
2008-11-30;22,2;
2008-12-31;23,2;
2009-01-31;24,8;
2009-02-28;25,9;
2009-03-31;null;

