Nome: IGUAPE
Codigo Estacao: 83821
Latitude: -24.67166666
Longitude: -47.54583333
Altitude: 2.7
Situacao: Desativada
Data Inicial: 2004-01-01
Data Final: 2009-12-18
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);
2004-01-31;23,7;
2004-02-29;24,1;
2004-03-31;23,2;
2004-04-30;23,1;
2004-05-31;18,4;
2004-06-30;17,3;
2004-07-31;17,5;
2004-08-31;17,6;
2004-09-30;20,6;
2004-10-31;20,7;
2004-11-30;22,4;
2004-12-31;23,2;
2005-01-31;24,5;
2005-02-28;24,3;
2005-03-31;24,7;
2005-04-30;23,4;
2005-05-31;20,4;
2005-06-30;19,7;
2005-07-31;17,3;
2005-08-31;19;
2005-09-30;18,6;
2005-10-31;21;
2005-11-30;22,3;
2005-12-31;23,3;
2006-01-31;25;
2006-02-28;25,4;
2006-03-31;25,3;
2006-04-30;22;
2006-05-31;18;
2006-06-30;18,4;
2006-07-31;18,5;
2006-08-31;18,6;
2006-09-30;18,9;
2006-10-31;20,9;
2006-11-30;22,8;
2006-12-31;24,7;
2007-01-31;24,9;
2007-02-28;25,3;
2007-03-31;25,4;
2007-04-30;23,6;
2007-05-31;19,2;
2007-06-30;18,2;
2007-07-31;15,9;
2007-08-31;17,2;
2007-09-30;19,9;
2007-10-31;21,4;
2007-11-30;21,9;
2007-12-31;24;
2008-01-31;24,1;
2008-02-29;24,8;
2008-03-31;24;
2008-04-30;22,1;
2008-05-31;18,7;
2008-06-30;17,6;
2008-07-31;17,5;
2008-08-31;19;
2008-09-30;18,7;
2008-10-31;21,3;
2008-11-30;22,1;
2008-12-31;22,5;
2009-01-31;24,4;
2009-02-28;25,3;
2009-03-31;24,9;
2009-04-30;22,3;
2009-05-31;20,3;
2009-06-30;16,1;
2009-07-31;17,2;
2009-08-31;18,3;
2009-09-30;20,1;
2009-10-31;20,5;
2009-11-30;25,6;
2009-12-31;null;

