Nome: JOACABA
Codigo Estacao: 83904
Latitude: -27.169273
Longitude: -51.558963
Altitude: 767.63
Situacao: Desativada
Data Inicial: 2004-01-01
Data Final: 2007-06-13
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);
2004-01-31;22,3;
2004-02-29;21,4;
2004-03-31;22,1;
2004-04-30;20,9;
2004-05-31;14,1;
2004-06-30;15,3;
2004-07-31;13,9;
2004-08-31;16,2;
2004-09-30;18,9;
2004-10-31;18,7;
2004-11-30;20;
2004-12-31;21,5;
2005-01-31;23;
2005-02-28;23,1;
2005-03-31;22,6;
2005-04-30;19,2;
2005-05-31;16,7;
2005-06-30;16,1;
2005-07-31;13,4;
2005-08-31;16,9;
2005-09-30;13,8;
2005-10-31;18,9;
2005-11-30;20,8;
2005-12-31;21,6;
2006-01-31;23,1;
2006-02-28;21,9;
2006-03-31;21,1;
2006-04-30;17,7;
2006-05-31;14;
2006-06-30;16,2;
2006-07-31;16,1;
2006-08-31;16,4;
2006-09-30;16,9;
2006-10-31;20,7;
2006-11-30;20,1;
2006-12-31;22,9;
2007-01-31;22,4;
2007-02-28;22,4;
2007-03-31;22,2;
2007-04-30;19,3;
2007-05-31;13,2;
2007-06-30;null;

