Nome: SAO JOAQUIM
Codigo Estacao: 83920
Latitude: -28.27555554
Longitude: -49.93472221
Altitude: 1400.07
Situacao: Desativada
Data Inicial: 2004-01-01
Data Final: 2017-05-30
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);
2004-01-31;16,5;
2004-02-29;15,5;
2004-03-31;15,2;
2004-04-30;15,1;
2004-05-31;9,2;
2004-06-30;11;
2004-07-31;8,4;
2004-08-31;11;
2004-09-30;13,9;
2004-10-31;12,3;
2004-11-30;14,3;
2004-12-31;15,4;
2005-01-31;17,5;
2005-02-28;16,4;
2005-03-31;16,6;
2005-04-30;14,1;
2005-05-31;12,4;
2005-06-30;12,1;
2005-07-31;8,6;
2005-08-31;12,4;
2005-09-30;8,9;
2005-10-31;13,7;
2005-11-30;15;
2005-12-31;15;
2006-01-31;18,1;
2006-02-28;17,1;
2006-03-31;16,7;
2006-04-30;12,9;
2006-05-31;8,9;
2006-06-30;10,5;
2006-07-31;11,8;
2006-08-31;11,2;
2006-09-30;10,7;
2006-10-31;14,7;
2006-11-30;14,3;
2006-12-31;18;
2007-01-31;17,5;
2007-02-28;17,1;
2007-03-31;18,2;
2007-04-30;15,1;
2007-05-31;9,3;
2007-06-30;11,1;
2007-07-31;8,2;
2007-08-31;10,6;
2007-09-30;14;
2007-10-31;15;
2007-11-30;13,7;
2007-12-31;16,8;
2008-01-31;16;
2008-02-29;16,2;
2008-03-31;15,7;
2008-04-30;13;
2008-05-31;10,7;
2008-06-30;8,3;
2008-07-31;11,9;
2008-08-31;11,3;
2008-09-30;9,6;
2008-10-31;13;
2008-11-30;14;
2008-12-31;15,4;
2009-01-31;16;
2009-02-28;17,6;
2009-03-31;16,9;
2009-04-30;14,3;
2009-05-31;11,9;
2009-06-30;8,2;
2009-07-31;7,9;
2009-08-31;11,8;
2009-09-30;11,5;
2009-10-31;13,5;
2009-11-30;18,2;
2009-12-31;17,2;
2010-01-31;17,8;
2010-02-28;18,8;
2010-03-31;16,3;
2010-04-30;13,4;
2010-05-31;10,7;
2010-06-30;9,9;
2010-07-31;10,1;
2010-08-31;10;
2010-09-30;12;
2010-10-31;11,6;
2010-11-30;14,1;
2010-12-31;16,2;
2011-01-31;18,2;
2011-02-28;17,6;
2011-03-31;15,5;
2011-04-30;14,2;
2011-05-31;10;
2011-06-30;8,5;
2011-07-31;9,8;
2011-08-31;9,9;
2011-09-30;11,2;
2011-10-31;13,3;
2011-11-30;14,2;
2011-12-31;15,4;
2012-01-31;16,5;
2012-02-29;18,6;
2012-03-31;16;
2012-04-30;13,7;
2012-05-31;11,3;
2012-06-30;10,1;
2012-07-31;8,6;
2012-08-31;12,8;
2012-09-30;12,3;
2012-10-31;15;
2012-11-30;15,1;
2012-12-31;18,6;
2013-01-31;16,1;
2013-02-28;16,8;
2013-03-31;14,5;
2013-04-30;13,4;
2013-05-31;11,3;
2013-06-30;10,2;
2013-07-31;9,3;
2013-08-31;9,6;
2013-09-30;11,8;
2013-10-31;12,5;
2013-11-30;14,9;
2013-12-31;17,3;
2014-01-31;19;
2014-02-28;18,9;
2014-03-31;15,9;
2014-04-30;13,7;
2014-05-31;11,1;
2014-06-30;10,4;
2014-07-31;9,8;
2014-08-31;11,7;
2014-09-30;13,1;
2014-10-31;15,3;
2014-11-30;15,3;
2014-12-31;16,7;
2015-01-31;17,9;
2015-02-28;17,1;
2015-03-31;15,8;
2015-04-30;13,5;
2015-05-31;11,2;
2015-06-30;10;
2015-07-31;10,1;
2015-08-31;14,1;
2015-09-30;12,5;
2015-10-31;14,3;
2015-11-30;14,9;
2015-12-31;17,6;
2016-01-31;17,8;
2016-02-29;18,4;
2016-03-31;15,4;
2016-04-30;16,1;
2016-05-31;9,8;
2016-06-30;6,7;
2016-07-31;9,6;
2016-08-31;10,7;
2016-09-30;10,8;
2016-10-31;12,8;
2016-11-30;14,3;
2016-12-31;16,6;
2017-01-31;18;
2017-02-28;18,8;
2017-03-31;15,8;
2017-04-30;13,1;
2017-05-31;12,3;

