Nome: URUGUAIANA
Codigo Estacao: 83927
Latitude: -29.83999999
Longitude: -57.08194443
Altitude: 74.41
Situacao: Desativada
Data Inicial: 2004-01-01
Data Final: 2019-03-31
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);
2004-01-31;25,9;
2004-02-29;24,3;
2004-03-31;23,7;
2004-04-30;21,4;
2004-05-31;13,5;
2004-06-30;14,6;
2004-07-31;12,9;
2004-08-31;14,6;
2004-09-30;17,5;
2004-10-31;19;
2004-11-30;21;
2004-12-31;24,2;
2005-01-31;26,9;
2005-02-28;25,1;
2005-03-31;23,1;
2005-04-30;18,4;
2005-05-31;17;
2005-06-30;17,1;
2005-07-31;13,4;
2005-08-31;15,2;
2005-09-30;14,3;
2005-10-31;18;
2005-11-30;22,7;
2005-12-31;23,6;
2006-01-31;26,8;
2006-02-28;26,2;
2006-03-31;24,5;
2006-04-30;20;
2006-05-31;14,5;
2006-06-30;15;
2006-07-31;16,1;
2006-08-31;13,9;
2006-09-30;15,6;
2006-10-31;21,5;
2006-11-30;21,5;
2006-12-31;25,4;
2007-01-31;25,6;
2007-02-28;25,2;
2007-03-31;23,5;
2007-04-30;21,1;
2007-05-31;12,8;
2007-06-30;12,6;
2007-07-31;9,6;
2007-08-31;11,6;
2007-09-30;18,1;
2007-10-31;20,1;
2007-11-30;20,9;
2007-12-31;24,8;
2008-01-31;25,8;
2008-02-29;25;
2008-03-31;23,3;
2008-04-30;18,9;
2008-05-31;15,1;
2008-06-30;11,1;
2008-07-31;15,4;
2008-08-31;14;
2008-09-30;15;
2008-10-31;19,4;
2008-11-30;23,8;
2008-12-31;25,6;
2009-01-31;24,8;
2009-02-28;25;
2009-03-31;23,6;
2009-04-30;20,4;
2009-05-31;17,1;
2009-06-30;11;
2009-07-31;10,1;
2009-08-31;15,8;
2009-09-30;15,1;
2009-10-31;19,6;
2009-11-30;23,2;
2009-12-31;24,3;
2010-01-31;25,6;
2010-02-28;25,3;
2010-03-31;24,2;
2010-04-30;19,3;
2010-05-31;15,5;
2010-06-30;13,6;
2010-07-31;12,6;
2010-08-31;13,9;
2010-09-30;17;
2010-10-31;19,2;
2010-11-30;22,6;
2010-12-31;25,2;
2011-01-31;26,7;
2011-02-28;25,1;
2011-03-31;23,3;
2011-04-30;20,2;
2011-05-31;16;
2011-06-30;13;
2011-07-31;12,4;
2011-08-31;13,9;
2011-09-30;17,6;
2011-10-31;19,3;
2011-11-30;23,5;
2011-12-31;24,2;
2012-01-31;26,5;
2012-02-29;26,7;
2012-03-31;23,1;
2012-04-30;19,3;
2012-05-31;17,8;
2012-06-30;14,1;
2012-07-31;11,5;
2012-08-31;17,7;
2012-09-30;18,4;
2012-10-31;20,4;
2012-11-30;24,6;
2012-12-31;25,1;
2013-01-31;24,7;
2013-02-28;24,7;
2013-03-31;21,4;
2013-04-30;19,8;
2013-05-31;15,7;
2013-06-30;13,5;
2013-07-31;13,4;
2013-08-31;12,7;
2013-09-30;17;
2013-10-31;20,4;
2013-11-30;22,9;
2013-12-31;27,2;
2014-01-31;26,7;
2014-02-28;25,7;
2014-03-31;21,5;
2014-04-30;20;
2014-05-31;16,1;
2014-06-30;13,4;
2014-07-31;14,6;
2014-08-31;16;
2014-09-30;18,1;
2014-10-31;22,2;
2014-11-30;23,2;
2014-12-31;23,9;
2015-01-31;25,5;
2015-02-28;25,3;
2015-03-31;23,5;
2015-04-30;21;
2015-05-31;17,4;
2015-06-30;15,4;
2015-07-31;13,9;
2015-08-31;18,6;
2015-09-30;17,2;
2015-10-31;18,8;
2015-11-30;21,3;
2015-12-31;24;
2016-01-31;27;
2016-02-29;25,9;
2016-03-31;21,3;
2016-04-30;20,7;
2016-05-31;13,9;
2016-06-30;11,3;
2016-07-31;13,2;
2016-08-31;15,4;
2016-09-30;15,6;
2016-10-31;19,4;
2016-11-30;21,9;
2016-12-31;25,1;
2017-01-31;25,4;
2017-02-28;24,7;
2017-03-31;22,7;
2017-04-30;19,1;
2017-05-31;17,1;
2017-06-30;14,7;
2017-07-31;15,9;
2017-08-31;16,1;
2017-09-30;18,3;
2017-10-31;19,4;
2017-11-30;21,7;
2017-12-31;25,9;
2018-01-31;null;
2018-02-28;24,9;
2018-03-31;22,6;
2018-04-30;22,9;
2018-05-31;16,9;
2018-06-30;11,3;
2018-07-31;12;
2018-08-31;12,7;
2018-09-30;19;
2018-10-31;20,3;
2018-11-30;23,3;
2018-12-31;23,6;
2019-01-31;null;
2019-02-28;null;
2019-03-31;null;

