Nome: BENTO GONCALVES
Codigo Estacao: 83941
Latitude: -29.164588
Longitude: -51.534104
Altitude: 624.1
Situacao: Desativada
Data Inicial: 2004-01-01
Data Final: 2013-12-30
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);
2004-01-31;21,8;
2004-02-29;20,5;
2004-03-31;20,1;
2004-04-30;19,9;
2004-05-31;13;
2004-06-30;14,4;
2004-07-31;11,8;
2004-08-31;14,2;
2004-09-30;17,2;
2004-10-31;16,6;
2004-11-30;18,4;
2004-12-31;20,5;
2005-01-31;23,1;
2005-02-28;22,1;
2005-03-31;21,4;
2005-04-30;17,6;
2005-05-31;16,4;
2005-06-30;15,8;
2005-07-31;12,8;
2005-08-31;15;
2005-09-30;12,8;
2005-10-31;16,8;
2005-11-30;19,8;
2005-12-31;20;
2006-01-31;22,8;
2006-02-28;21,4;
2006-03-31;21,1;
2006-04-30;17,2;
2006-05-31;12,8;
2006-06-30;14;
2006-07-31;15;
2006-08-31;14,3;
2006-09-30;14,3;
2006-10-31;18,7;
2006-11-30;18,5;
2006-12-31;23;
2007-01-31;22,3;
2007-02-28;21,9;
2007-03-31;22,1;
2007-04-30;19,4;
2007-05-31;12,5;
2007-06-30;13,6;
2007-07-31;10,5;
2007-08-31;12,9;
2007-09-30;17,7;
2007-10-31;18,6;
2007-11-30;17,9;
2007-12-31;21;
2008-01-31;21,2;
2008-02-29;21;
2008-03-31;20,6;
2008-04-30;17,1;
2008-05-31;14,3;
2008-06-30;11,4;
2008-07-31;14,9;
2008-08-31;14,1;
2008-09-30;13,2;
2008-10-31;16,8;
2008-11-30;19,4;
2008-12-31;20,3;
2009-01-31;20,4;
2009-02-28;21,7;
2009-03-31;21;
2009-04-30;18,4;
2009-05-31;15,6;
2009-06-30;11,1;
2009-07-31;10,2;
2009-08-31;15,2;
2009-09-30;14,6;
2009-10-31;16,8;
2009-11-30;21,6;
2009-12-31;21,2;
2010-01-31;22;
2010-02-28;23;
2010-03-31;20,7;
2010-04-30;17,5;
2010-05-31;14,2;
2010-06-30;13,1;
2010-07-31;12,7;
2010-08-31;13;
2010-09-30;15,5;
2010-10-31;15,6;
2010-11-30;18,4;
2010-12-31;20,9;
2011-01-31;22,9;
2011-02-28;21,6;
2011-03-31;20;
2011-04-30;17,7;
2011-05-31;14,3;
2011-06-30;11,5;
2011-07-31;12;
2011-08-31;12,7;
2011-09-30;15,1;
2011-10-31;17,5;
2011-11-30;19,5;
2011-12-31;20,1;
2012-01-31;21,7;
2012-02-29;23,3;
2012-03-31;20,4;
2012-04-30;17,1;
2012-05-31;16,1;
2012-06-30;13,1;
2012-07-31;11,6;
2012-08-31;17,3;
2012-09-30;16;
2012-10-31;18,7;
2012-11-30;20,5;
2012-12-31;23;
2013-01-31;20,9;
2013-02-28;21,3;
2013-03-31;18,3;
2013-04-30;17,6;
2013-05-31;14,7;
2013-06-30;12,9;
2013-07-31;12,1;
2013-08-31;12;
2013-09-30;15,3;
2013-10-31;17;
2013-11-30;19,9;
2013-12-31;22,2;

