Nome: TRIUNFO
Codigo Estacao: 83954
Latitude: -29.869757
Longitude: -51.379201
Altitude: 23.6
Situacao: Desativada
Data Inicial: 2004-01-01
Data Final: 2013-06-29
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);
2004-01-31;24,8;
2004-02-29;23,5;
2004-03-31;22,7;
2004-04-30;21,9;
2004-05-31;15,8;
2004-06-30;16;
2004-07-31;13,5;
2004-08-31;15,3;
2004-09-30;18,8;
2004-10-31;18,7;
2004-11-30;20,8;
2004-12-31;22,8;
2005-01-31;25,1;
2005-02-28;24,1;
2005-03-31;23,3;
2005-04-30;19,7;
2005-05-31;18,1;
2005-06-30;18;
2005-07-31;14,8;
2005-08-31;16,7;
2005-09-30;15,5;
2005-10-31;19,1;
2005-11-30;21,9;
2005-12-31;22,8;
2006-01-31;25,1;
2006-02-28;24,3;
2006-03-31;23;
2006-04-30;19,7;
2006-05-31;15;
2006-06-30;15,4;
2006-07-31;17;
2006-08-31;14,9;
2006-09-30;15,7;
2006-10-31;20;
2006-11-30;20,5;
2006-12-31;24,6;
2007-01-31;24,6;
2007-02-28;24,3;
2007-03-31;24,4;
2007-04-30;21,6;
2007-05-31;14,8;
2007-06-30;13,9;
2007-07-31;12,2;
2007-08-31;14,3;
2007-09-30;19;
2007-10-31;20,5;
2007-11-30;20,1;
2007-12-31;23,6;
2008-01-31;24,1;
2008-02-29;23,5;
2008-03-31;23,5;
2008-04-30;19,5;
2008-05-31;16,6;
2008-06-30;13;
2008-07-31;16,1;
2008-08-31;15;
2008-09-30;15,7;
2008-10-31;19,1;
2008-11-30;21,7;
2008-12-31;22,8;
2009-01-31;23,2;
2009-02-28;24,2;
2009-03-31;23,2;
2009-04-30;20,4;
2009-05-31;17,6;
2009-06-30;13;
2009-07-31;11,6;
2009-08-31;16,7;
2009-09-30;16,7;
2009-10-31;18,6;
2009-11-30;22,9;
2009-12-31;23,4;
2010-01-31;25;
2010-02-28;26;
2010-03-31;23,3;
2010-04-30;19,6;
2010-05-31;16,8;
2010-06-30;14,9;
2010-07-31;14,2;
2010-08-31;14,4;
2010-09-30;17,2;
2010-10-31;18,1;
2010-11-30;20,8;
2010-12-31;23,1;
2011-01-31;25,8;
2011-02-28;24,4;
2011-03-31;22,3;
2011-04-30;19,9;
2011-05-31;16,1;
2011-06-30;13,7;
2011-07-31;13;
2011-08-31;14,4;
2011-09-30;16,6;
2011-10-31;19,5;
2011-11-30;21,3;
2011-12-31;22,4;
2012-01-31;24,1;
2012-02-29;26;
2012-03-31;22,7;
2012-04-30;19,3;
2012-05-31;18;
2012-06-30;14,5;
2012-07-31;13;
2012-08-31;18,8;
2012-09-30;17,9;
2012-10-31;20,7;
2012-11-30;22,6;
2012-12-31;25,3;
2013-01-31;23,4;
2013-02-28;24,4;
2013-03-31;21,1;
2013-04-30;19,8;
2013-05-31;16,6;
2013-06-30;14,2;

