Nome: TEUTONIA
Codigo Estacao: 83972
Latitude: -29.448748
Longitude: -51.799035
Altitude: 64.45
Situacao: Desativada
Data Inicial: 2004-01-01
Data Final: 2011-11-30
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);
2004-01-31;25;
2004-02-29;23,5;
2004-03-31;22,8;
2004-04-30;22,2;
2004-05-31;15,1;
2004-06-30;15,9;
2004-07-31;13,6;
2004-08-31;15,3;
2004-09-30;18,7;
2004-10-31;18,9;
2004-11-30;21,4;
2004-12-31;23,3;
2005-01-31;25,6;
2005-02-28;25;
2005-03-31;24;
2005-04-30;20;
2005-05-31;17,8;
2005-06-30;17,4;
2005-07-31;14,3;
2005-08-31;16,5;
2005-09-30;14,9;
2005-10-31;18,9;
2005-11-30;21,8;
2005-12-31;23,2;
2006-01-31;25,7;
2006-02-28;24,2;
2006-03-31;23,4;
2006-04-30;18,8;
2006-05-31;14,1;
2006-06-30;15,8;
2006-07-31;16,8;
2006-08-31;15;
2006-09-30;16,1;
2006-10-31;20,6;
2006-11-30;21,2;
2006-12-31;25,3;
2007-01-31;25,1;
2007-02-28;24,9;
2007-03-31;24,6;
2007-04-30;21,8;
2007-05-31;14,5;
2007-06-30;14,5;
2007-07-31;null;
2007-08-31;null;
2007-09-30;null;
2007-10-31;null;
2007-11-30;null;
2007-12-31;null;
2008-01-31;null;
2008-02-29;null;
2008-03-31;null;
2008-04-30;null;
2008-05-31;null;
2008-06-30;null;
2008-07-31;16,2;
2008-08-31;15,3;
2008-09-30;15,3;
2008-10-31;19,3;
2008-11-30;22,6;
2008-12-31;23,5;
2009-01-31;23,1;
2009-02-28;24,1;
2009-03-31;22,8;
2009-04-30;19,4;
2009-05-31;16,9;
2009-06-30;12,6;
2009-07-31;10,7;
2009-08-31;16,7;
2009-09-30;16,2;
2009-10-31;18,5;
2009-11-30;23,5;
2009-12-31;23,7;
2010-01-31;24,4;
2010-02-28;25,9;
2010-03-31;23,7;
2010-04-30;19,9;
2010-05-31;16,5;
2010-06-30;15,2;
2010-07-31;14,6;
2010-08-31;14,4;
2010-09-30;17,6;
2010-10-31;18,1;
2010-11-30;20,9;
2010-12-31;23,8;
2011-01-31;26;
2011-02-28;24,3;
2011-03-31;22;
2011-04-30;19,4;
2011-05-31;15,8;
2011-06-30;13,1;
2011-07-31;13,1;
2011-08-31;15,1;
2011-09-30;null;
2011-10-31;19,4;
2011-11-30;21,3;

