Nome: CAMAQUA
Codigo Estacao: 83978
Latitude: -30.80805555
Longitude: -51.83416666
Altitude: 92.29
Situacao: Desativada
Data Inicial: 2004-01-01
Data Final: 2006-12-11
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);
2004-01-31;23,1;
2004-02-29;22,3;
2004-03-31;18,8;
2004-04-30;null;
2004-05-31;null;
2004-06-30;14,3;
2004-07-31;12;
2004-08-31;13,9;
2004-09-30;17,6;
2004-10-31;16,9;
2004-11-30;19,5;
2004-12-31;21,5;
2005-01-31;23,9;
2005-02-28;22,8;
2005-03-31;22,1;
2005-04-30;18,4;
2005-05-31;16,6;
2005-06-30;16,7;
2005-07-31;13,4;
2005-08-31;15,3;
2005-09-30;14,1;
2005-10-31;17,1;
2005-11-30;20,7;
2005-12-31;21,1;
2006-01-31;24,1;
2006-02-28;22,4;
2006-03-31;22;
2006-04-30;18,8;
2006-05-31;14,2;
2006-06-30;13,8;
2006-07-31;15,4;
2006-08-31;13,5;
2006-09-30;14,3;
2006-10-31;19;
2006-11-30;19,3;
2006-12-31;null;

